	cveID	vendorProject	product	shortDescription	Predicted_Label
52	CVE-2025-21598	Juniper Networks	Junos OS	"An Out-of-bounds Read vulnerability in Juniper Networks Junos OS and Junos OS Evolved's routing protocol daemon (rpd) allows an unauthenticated, network-based attacker to send malformed BGP packets to a device configured with packet receive trace options enabled to crash rpd.
This issue affects:

Junos OS: 



  *  from 21.2R3-S8 before 21.2R3-S9, 
  *  from 21.4R3-S7 before 21.4R3-S9, 
  *  from 22.2R3-S4 before 22.2R3-S5, 
  *  from 22.3R3-S2 before 22.3R3-S4, 
  *  from 22.4R3 before 22.4R3-S5, 
  *  from 23.2R2 before 23.2R2-S2, 
  *  from 23.4R1 before 23.4R2-S1, 
  *  from 24.2R1 before 24.2R1-S1, 24.2R2.


Junos OS Evolved:
  *  from 21.4R3-S7-EVO before 21.4R3-S9-EVO, 
  *  from 22.2R3-S4-EVO before 22.2R3-S5-EVO, 
  *  from 22.3R3-S2-EVO before 22.3R3-S4-EVO, 
  *  from 22.4R3-EVO before 22.4R3-S5-EVO, 
  *  from 23.2R2-EVO before 23.2R2-S2-EVO, 
  *  from 23.4R1-EVO before 23.4R2-S1-EVO, 
  *  from 24.2R1-EVO before 24.2R1-S2-EVO, 24.2R2-EVO.


This issue requires a BGP session to be established.

This issue can propagate and multiply through multiple ASes until reaching vulnerable devices.

This issue affects iBGP and eBGP.

This issue affects IPv4 and IPv6.

An indicator of compromise may be the presence of malformed update messages in a neighboring AS which is unaffected by this issue:

For example, by issuing the command on the neighboring device:
 show log messages

Reviewing for similar messages from devices within proximity to each other may indicate this malformed packet is propagating:
  rpd[<pid>]: Received malformed update from <IP address> (External AS <AS#>)
and
  rpd[<pid>]: Malformed Attribute"	hot
53	CVE-2025-21127	Adobe	Photoshop Desktop	"Photoshop Desktop versions 25.12, 26.1 and earlier are affected by an Uncontrolled Search Path Element vulnerability that could lead to arbitrary code execution. An attacker could manipulate the search path environment variable to point to a malicious library, resulting in the execution of arbitrary code when the application loads. Exploitation of this issue requires user interaction in that a victim must run the vulnerable application."	hot
54	CVE-2025-21609	siyuan-note	siyuan	"SiYuan is self-hosted, open source personal knowledge management software. SiYuan Note version 3.1.18 has an arbitrary file deletion vulnerability. The vulnerability exists in the `POST /api/history/getDocHistoryContent` endpoint. An attacker can craft a payload to exploit this vulnerability, resulting in the deletion of arbitrary files on the server. Commit d9887aeec1b27073bec66299a9a4181dc42969f3 fixes this vulnerability and is expected to be available in version 3.1.19."	cold
55	CVE-2025-21602	Juniper Networks	Junos OS	"An Improper Handling of Exceptional Conditions vulnerability in the routing protocol daemon (rpd) of Juniper Networks Junos OS and Junos OS Evolved allows an unauthenticated adjacent attacker sending a specific BGP update packet to cause rpd to crash and restart, resulting in a Denial of Service (DoS). 

Continuous receipt and processing of this packet will create a sustained Denial of Service (DoS) condition.

This issue affects iBGP and eBGP, and both IPv4 and IPv6 are affected by this vulnerability.

This issue affects Junos OS: 



  *  from 21.4 before 21.4R3-S9, 
  *  from 22.2 before 22.2R3-S5, 
  *  from 22.3 before 22.3R3-S4,
  *  from 22.4 before 22.4R3-S5, 
  *  from 23.2 before 23.2R2-S3, 
  *  from 23.4 before 23.4R2-S3, 
  *  from 24.2 before 24.2R1-S2, 24.2R2; 


This issue does not affect versions prior to 21.1R1.





Junos OS Evolved: 



  *  from 21.4 before 21.4R3-S9-EVO, 
  *  from 22.2 before 22.2R3-S5-EVO, 
  *  from 22.3 before 22.3R3-S4-EVO,
  *  from 22.4 before 22.4R3-S5-EVO, 
  *  from 23.2 before 23.2R2-S3-EVO, 
  *  from 23.4 before 23.4R2-S3-EVO, 
  *  from 24.2 before 24.2R1-S2-EVO, 24.2R2-EVO.


This issue does not affect versions prior to 21.1R1-EVO"	cold
56	CVE-2025-21252	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
57	CVE-2025-21317	Microsoft	Windows Server 2022	Windows Kernel Memory Information Disclosure Vulnerability	hot
58	CVE-2025-21593	Juniper Networks	Junos OS	"An Improper Control of a Resource Through its Lifetime vulnerability in the routing protocol daemon (rpd) of Juniper Networks Junos OS and Junos OS Evolved allows an unauthenticated network-based attacker to cause a Denial-of-Service (DoS).

On devices with SRv6 (Segment Routing over IPv6) enabled, an attacker can send a malformed BGP UPDATE packet which will cause the rpd to crash and restart. Continued receipt of these UPDATE packets will cause a sustained DoS condition. 

This issue affects iBGP and eBGP, and both IPv4 and IPv6 are affected by this vulnerability.This issue affects Junos OS: 



  *  All versions before 21.2R3-S9, 
  *  from 21.4 before 21.4R3-S10, 
  *  from 22.2 before 22.2R3-S5, 
  *  from 22.3 before 22.3R3-S4, 
  *  from 22.4 before 22.4R3-S3, 
  *  from 23.2 before 23.2R2-S2, 
  *  from 23.4 before 23.4R2;



and Junos OS Evolved: 



  *  All versions before 21.2R3-S9-EVO, 
  *  from 21.4-EVO before 21.4R3-S10-EVO, 
  *  from 22.2-EVO before 22.2R3-S5-EVO, 
  *  from 22.3-EVO before 22.3R3-S4-EVO, 
  *  from 22.4-EVO before 22.4R3-S3-EVO,
  *  from 23.2-EVO before 23.2R2-S2-EVO, 
  *  from 23.4-EVO before 23.4R2-EVO."	cold
59	CVE-2025-21340	Microsoft	Windows 10 Version 1809	Windows Virtualization-Based Security (VBS) Security Feature Bypass Vulnerability	hot
60	CVE-2025-21213	Microsoft	Windows 10 Version 1809	Secure Boot Security Feature Bypass Vulnerability	hot
61	CVE-2025-21356	Microsoft	Microsoft Office 2019	Microsoft Office Visio Remote Code Execution Vulnerability	hot
62	CVE-2025-21244	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
63	CVE-2025-21614	go-git	go-git	go-git is a highly extensible git implementation library written in pure Go. A denial of service (DoS) vulnerability was discovered in go-git versions prior to v5.13. This vulnerability allows an attacker to perform denial of service attacks by providing specially crafted responses from a Git server which triggers resource exhaustion in go-git clients. Users running versions of go-git from v4 and above are recommended to upgrade to v5.13 in order to mitigate this vulnerability.	hot
64	CVE-2025-21301	Microsoft	Windows 10 Version 1809	Windows Geolocation Service Information Disclosure Vulnerability	hot
65	CVE-2025-21403	Microsoft	On-Premises Data Gateway	On-Premises Data Gateway Information Disclosure Vulnerability	hot
66	CVE-2025-21395	Microsoft	Microsoft Office 2019	Microsoft Access Remote Code Execution Vulnerability	hot
67	CVE-2025-21287	Microsoft	Windows 10 Version 1809	Windows Installer Elevation of Privilege Vulnerability	hot
68	CVE-2025-21268	Microsoft	Windows Server 2025 (Server Core installation)	MapUrlToZone Security Feature Bypass Vulnerability	hot
69	CVE-2025-21291	Microsoft	Windows 10 Version 1809	Windows Direct Show Remote Code Execution Vulnerability	hot
70	CVE-2025-21229	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
71	CVE-2025-21136	Adobe	Substance3D - Designer	Substance3D - Designer versions 14.0 and earlier are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.	hot
72	CVE-2025-21618	zauberzeug	nicegui	"NiceGUI is an easy-to-use, Python-based UI framework. Prior to 2.9.1, authenticating with NiceGUI logged in the user for all browsers, including browsers in incognito mode. This vulnerability is fixed in 2.9.1."	cold
73	CVE-2025-21248	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
74	CVE-2025-21233	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
75	CVE-2025-21321	Microsoft	Windows Server 2025	Windows Kernel Memory Information Disclosure Vulnerability	hot
76	CVE-2025-21622	MacWarrior	clipbucket-v5	"ClipBucket V5 provides open source video hosting with PHP. During the user avatar upload workflow, a user can choose to upload and change their avatar at any time. During deletion, ClipBucket checks for the avatar_url as a filepath within the avatars subdirectory. If the URL path exists within the avatars directory, ClipBucket will delete it. There is no check for path traversal sequences in the provided user input (stored in the DB as avatar_url) therefore the final $file variable could be tainted with path traversal sequences. This leads to file deletion outside of the intended scope of the avatars folder. This vulnerability is fixed in 5.5.1 - 237."	cold
77	CVE-2025-21272	Microsoft	Windows 10 Version 1809	Windows COM Server Information Disclosure Vulnerability	cold
78	CVE-2025-21360	Microsoft	Microsoft AutoUpdate for Mac	Microsoft AutoUpdate (MAU) Elevation of Privilege Vulnerability	hot
79	CVE-2025-21225	Microsoft	Windows Server 2019	Windows Remote Desktop Gateway (RD Gateway) Denial of Service Vulnerability	hot
80	CVE-2025-21361	Microsoft	Microsoft Office LTSC for Mac 2021	Microsoft Outlook Remote Code Execution Vulnerability	hot
81	CVE-2025-21224	Microsoft	Windows Server 2022	Windows Line Printer Daemon (LPD) Service Remote Code Execution Vulnerability	hot
82	CVE-2025-21336	Microsoft	Windows 10 Version 1809	Windows Cryptographic Information Disclosure Vulnerability	hot
83	CVE-2025-21623	MacWarrior	clipbucket-v5	"ClipBucket V5 provides open source video hosting with PHP. Prior to 5.5.1 - 238, ClipBucket V5 allows unauthenticated attackers to change the template directory via a directory traversal, which results in a denial of service."	hot
84	CVE-2025-21273	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
85	CVE-2025-21320	Microsoft	Windows 10 Version 1809	Windows Kernel Memory Information Disclosure Vulnerability	hot
86	CVE-2025-21265	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
87	CVE-2025-21232	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
88	CVE-2025-21249	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
89	CVE-2025-21137	Adobe	Substance3D - Designer	Substance3D - Designer versions 14.0 and earlier are affected by a Heap-based Buffer Overflow vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.	hot
90	CVE-2025-21176	Microsoft	Microsoft Visual Studio 2017 version 15.9 (includes 15.0 - 15.8)	".NET, .NET Framework, and Visual Studio Remote Code Execution Vulnerability"	hot
91	CVE-2025-21382	Microsoft	Windows 10 Version 1809	Windows Graphics Component Elevation of Privilege Vulnerability	hot
92	CVE-2025-21228	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
93	CVE-2025-21101	Dell	Dell Display Manager	"Dell Display Manager, versions prior to 2.3.2.20, contain a race condition vulnerability.
A local malicious user could potentially exploit this vulnerability during installation, leading to arbitrary folder or file deletion."	cold
94	CVE-2025-21290	Microsoft	Windows 10 Version 1809	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability	hot
95	CVE-2025-21286	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
96	CVE-2025-21269	Microsoft	Windows 10 Version 1809	Windows HTML Platforms Security Feature Bypass Vulnerability	hot
97	CVE-2025-21402	Microsoft	Microsoft Office LTSC for Mac 2021	Microsoft Office OneNote Remote Code Execution Vulnerability	hot
98	CVE-2025-21245	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
99	CVE-2025-21615	bailuk	AAT	"AAT (Another Activity Tracker) is a GPS-tracking application for tracking sportive activities, with emphasis on cycling. Versions lower than v1.26 of AAT are vulnerable to data exfiltration from malicious apps installed on the same device."	cold
100	CVE-2025-21300	Microsoft	Windows 10 Version 1809	Windows upnphost.dll Denial of Service Vulnerability	hot
101	CVE-2025-21357	Microsoft	Microsoft Office 2019	Microsoft Outlook Remote Code Execution Vulnerability	hot
102	CVE-2025-21341	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
103	CVE-2025-21592	Juniper Networks	Junos OS	"An Exposure of Sensitive Information to an Unauthorized Actor vulnerability in the command-line interface (CLI) of Juniper Networks Junos OS on SRX Series devices allows a local, low-privileged user with access to the Junos CLI to view the contents of sensitive files on the file system.

Through the execution of either 'show services advanced-anti-malware' or 'show services security-intelligence' command, a user with limited permissions (e.g., a low privilege login class user) can access protected files that should not be accessible to the user. These files may contain sensitive information that can be used to cause further impact to the system.


This issue affects Junos OS SRX Series:



  *  All versions before 21.4R3-S8,

  *  from 22.2 before 22.2R3-S5,

  *  from 22.3 before 22.3R3-S3,
  *  from 22.4 before 22.4R3-S2,

  *  from 23.2 before 23.2R2-S1,

  *  from 23.4 before 23.4R2."	cold
104	CVE-2025-21603	PLANEX COMMUNICATIONS INC.	MZK-DP300N	"Cross-site scripting vulnerability exists in MZK-DP300N firmware versions 1.05 and earlier. If an attacker logs in to the affected product and manipulates the device settings, an arbitrary script may be executed on the logged-in user's web browser when accessing a crafted URL."	cold
105	CVE-2025-21316	Microsoft	Windows 10 Version 1809	Windows Kernel Memory Information Disclosure Vulnerability	hot
106	CVE-2025-21417	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
107	CVE-2025-21102	Dell	Dell VxRail HCI	"Dell VxRail, versions 7.0.000 through 7.0.532, contain(s) a Plaintext Storage of a Password vulnerability. A high privileged attacker with local access could potentially exploit this vulnerability, leading to Information exposure."	cold
108	CVE-2025-21339	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
109	CVE-2025-21293	Microsoft	Windows 10 Version 1809	Active Directory Domain Services Elevation of Privilege Vulnerability	hot
110	CVE-2025-21285	Microsoft	Windows 10 Version 1809	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability	hot
111	CVE-2025-21378	Microsoft	Windows 10 Version 1809	Windows CSC Service Elevation of Privilege Vulnerability	hot
112	CVE-2025-21303	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
113	CVE-2025-21246	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
114	CVE-2025-21616	makeplane	plane	"Plane is an open-source project management tool. A cross-site scripting (XSS) vulnerability has been identified in Plane versions prior to 0.23. The vulnerability allows authenticated users to upload SVG files containing malicious JavaScript code as profile images, which gets executed in victims' browsers when viewing the profile image."	cold
115	CVE-2025-21354	Microsoft	Office Online Server	Microsoft Excel Remote Code Execution Vulnerability	hot
116	CVE-2025-21211	Microsoft	Windows 10 Version 1809	Secure Boot Security Feature Bypass Vulnerability	hot
117	CVE-2025-21138	Adobe	Substance3D - Designer	Substance3D - Designer versions 14.0 and earlier are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.	hot
118	CVE-2025-21207	Microsoft	Windows 10 Version 1809	Windows Connected Devices Platform Service (Cdpsvc) Denial of Service Vulnerability	hot
119	CVE-2025-21315	Microsoft	Windows Server 2025 (Server Core installation)	Microsoft Brokering File System Elevation of Privilege Vulnerability	hot
120	CVE-2025-21600	Juniper Networks	Junos OS	"An Out-of-Bounds Read vulnerability in

the routing protocol daemon (rpd) of 

 Juniper Networks Junos OS and Junos OS Evolved allows an unauthenticated, logically adjacent BGP peer sending a specifically malformed BGP packet to cause rpd to crash and restart, resulting in a Denial of Service (DoS). Continued receipt and processing of this packet will create a sustained Denial of Service (DoS) condition.



This issue only affects systems configured in
      either of two ways:

    
    
        *  systems with BGP traceoptions enabled

        *  systems with BGP family traffic-engineering (BGP-LS)
          configured


 and can be exploited from a directly connected and configured BGP peer. 

This issue affects iBGP and eBGP 

with 

any address family

 configured, and both IPv4 and IPv6 are affected by this vulnerability.

This issue affects:

Junos OS: 



  *  All versions before 21.4R3-S9, 
  *  from 22.2 before 22.2R3-S5, 
  *  from 22.3 before 22.3R3-S4, 
  *  from 22.4 before 22.4R3-S5, 
  *  from 23.2 before 23.2R2-S3, 
  *  from 23.4 before 23.4R2-S3, 
  *  from 24.2 before 24.2R1-S2, 24.2R2; 




Junos OS Evolved: 



  *  All versions before 21.4R3-S9-EVO, 
  *  from 22.2 before 22.2R3-S5-EVO, 
  *  from 22.3 before 22.3R3-S4-EVO, 
  *  from 22.4 before 22.4R3-S5-EVO, 
  *  from 23.2 before 23.2R2-S3-EVO, 
  *  from 23.4 before 23.4R2-S2-EVO, 
  *  from 24.2 before 24.2R1-S2-EVO, 24.2R2-EVO.



This is a similar, but different vulnerability than the issue reported as CVE-2024-39516."	cold
121	CVE-2025-21250	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
122	CVE-2025-21227	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
123	CVE-2025-21362	Microsoft	Office Online Server	Microsoft Excel Remote Code Execution Vulnerability	hot
124	CVE-2025-21620	denoland	deno	"Deno is a JavaScript, TypeScript, and WebAssembly runtime with secure defaults. When you send a request with the Authorization header to one domain, and the response asks to redirect to a different domain, Deno'sfetch() redirect handling creates a follow-up redirect request that keeps the original Authorization header, leaking its content to that second domain. This vulnerability is fixed in 2.1.2."	cold
125	CVE-2025-21270	Microsoft	Windows 10 Version 1809	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability	hot
126	CVE-2025-21335	Microsoft	Windows 10 Version 21H2	Windows Hyper-V NT Kernel Integration VSP Elevation of Privilege Vulnerability	hot
127	CVE-2025-21266	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
128	CVE-2025-21323	Microsoft	Windows Server 2022	Windows Kernel Memory Information Disclosure Vulnerability	hot
129	CVE-2025-21289	Microsoft	Windows 10 Version 1809	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability	hot
130	CVE-2025-21231	Microsoft	Windows 10 Version 1809	IP Helper Denial of Service Vulnerability	hot
131	CVE-2025-21374	Microsoft	Windows 10 Version 1809	Windows CSC Service Information Disclosure Vulnerability	hot
132	CVE-2025-21134	Adobe	Illustrator on iPad	Illustrator on iPad versions 3.0.7 and earlier are affected by an Integer Underflow (Wrap or Wraparound) vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.	hot
