cveID	label	vendor	product	description
CVE-2025-21598	hot	Juniper Networks	Junos OS	"An Out-of-bounds Read vulnerability in Juniper Networks Junos OS and Junos OS Evolved's routing protocol daemon (rpd) allows an unauthenticated, network-based attacker to send malformed BGP packets to a device configured with packet receive trace options enabled to crash rpd.
This issue affects:

Junos OS: 



  *  from 21.2R3-S8 before 21.2R3-S9, 
  *  from 21.4R3-S7 before 21.4R3-S9, 
  *  from 22.2R3-S4 before 22.2R3-S5, 
  *  from 22.3R3-S2 before 22.3R3-S4, 
  *  from 22.4R3 before 22.4R3-S5, 
  *  from 23.2R2 before 23.2R2-S2, 
  *  from 23.4R1 before 23.4R2-S1, 
  *  from 24.2R1 before 24.2R1-S1, 24.2R2.


Junos OS Evolved:
  *  from 21.4R3-S7-EVO before 21.4R3-S9-EVO, 
  *  from 22.2R3-S4-EVO before 22.2R3-S5-EVO, 
  *  from 22.3R3-S2-EVO before 22.3R3-S4-EVO, 
  *  from 22.4R3-EVO before 22.4R3-S5-EVO, 
  *  from 23.2R2-EVO before 23.2R2-S2-EVO, 
  *  from 23.4R1-EVO before 23.4R2-S1-EVO, 
  *  from 24.2R1-EVO before 24.2R1-S2-EVO, 24.2R2-EVO.


This issue requires a BGP session to be established.

This issue can propagate and multiply through multiple ASes until reaching vulnerable devices.

This issue affects iBGP and eBGP.

This issue affects IPv4 and IPv6.

An indicator of compromise may be the presence of malformed update messages in a neighboring AS which is unaffected by this issue:

For example, by issuing the command on the neighboring device:
 show log messages

Reviewing for similar messages from devices within proximity to each other may indicate this malformed packet is propagating:
  rpd[<pid>]: Received malformed update from <IP address> (External AS <AS#>)
and
  rpd[<pid>]: Malformed Attribute"
CVE-2025-21127	hot	Adobe	Photoshop Desktop	"Photoshop Desktop versions 25.12, 26.1 and earlier are affected by an Uncontrolled Search Path Element vulnerability that could lead to arbitrary code execution. An attacker could manipulate the search path environment variable to point to a malicious library, resulting in the execution of arbitrary code when the application loads. Exploitation of this issue requires user interaction in that a victim must run the vulnerable application."
CVE-2025-21252	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21317	hot	Microsoft	Windows	Windows Kernel Memory Information Disclosure Vulnerability
CVE-2025-21340	hot	Microsoft	Windows	Windows Virtualization-Based Security (VBS) Security Feature Bypass Vulnerability
CVE-2025-21213	hot	Microsoft	Windows	Secure Boot Security Feature Bypass Vulnerability
CVE-2025-21356	hot	Microsoft	Microsoft Office 2019	Microsoft Office Visio Remote Code Execution Vulnerability
CVE-2025-21244	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21301	hot	Microsoft	Windows	Windows Geolocation Service Information Disclosure Vulnerability
CVE-2025-21403	hot	Microsoft	On-Premises Data Gateway	On-Premises Data Gateway Information Disclosure Vulnerability
CVE-2025-21395	hot	Microsoft	Microsoft Office 2019	Microsoft Access Remote Code Execution Vulnerability
CVE-2025-21287	hot	Microsoft	Windows	Windows Installer Elevation of Privilege Vulnerability
CVE-2025-21268	hot	Microsoft	Windows	MapUrlToZone Security Feature Bypass Vulnerability
CVE-2025-21291	hot	Microsoft	Windows	Windows Direct Show Remote Code Execution Vulnerability
CVE-2025-21229	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21136	hot	Adobe	Substance3D - Designer	Substance3D - Designer versions 14.0 and earlier are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21248	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21399	hot	Microsoft	Microsoft Edge Update Setup	Microsoft Edge (Chromium-based) Update Elevation of Privilege Vulnerability
CVE-2025-21233	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21321	hot	Microsoft	Windows	Windows Kernel Memory Information Disclosure Vulnerability
CVE-2025-21272	hot	Microsoft	Windows	Windows COM Server Information Disclosure Vulnerability
CVE-2025-21360	hot	Microsoft	Microsoft AutoUpdate for Mac	Microsoft AutoUpdate (MAU) Elevation of Privilege Vulnerability
CVE-2025-21225	hot	Microsoft	Windows	Windows Remote Desktop Gateway (RD Gateway) Denial of Service Vulnerability
CVE-2025-21361	hot	Microsoft	Microsoft Office LTSC for Mac 2021	Microsoft Outlook Remote Code Execution Vulnerability
CVE-2025-21224	hot	Microsoft	Windows	Windows Line Printer Daemon (LPD) Service Remote Code Execution Vulnerability
CVE-2025-21336	hot	Microsoft	Windows	Windows Cryptographic Information Disclosure Vulnerability
CVE-2025-21623	hot	MacWarrior	clipbucket-v5	"ClipBucket V5 provides open source video hosting with PHP. Prior to 5.5.1 - 238, ClipBucket V5 allows unauthenticated attackers to change the template directory via a directory traversal, which results in a denial of service."
CVE-2025-21273	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21320	hot	Microsoft	Windows	Windows Kernel Memory Information Disclosure Vulnerability
CVE-2025-21265	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21232	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21249	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21137	hot	Adobe	Substance3D - Designer	Substance3D - Designer versions 14.0 and earlier are affected by a Heap-based Buffer Overflow vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21176	hot	Microsoft	Microsoft Visual Studio 2017 version 15.9 (includes 15.0 - 15.8)	".NET, .NET Framework, and Visual Studio Remote Code Execution Vulnerability"
CVE-2025-21382	hot	Microsoft	Windows	Windows Graphics Component Elevation of Privilege Vulnerability
CVE-2025-21228	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21290	hot	Microsoft	Windows	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
CVE-2025-21286	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21269	hot	Microsoft	Windows	Windows HTML Platforms Security Feature Bypass Vulnerability
CVE-2025-21402	hot	Microsoft	Microsoft Office LTSC for Mac 2021	Microsoft Office OneNote Remote Code Execution Vulnerability
CVE-2025-21245	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21300	hot	Microsoft	Windows	Windows upnphost.dll Denial of Service Vulnerability
CVE-2025-21357	hot	Microsoft	Microsoft Office 2019	Microsoft Outlook Remote Code Execution Vulnerability
CVE-2025-21341	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21316	hot	Microsoft	Windows	Windows Kernel Memory Information Disclosure Vulnerability
CVE-2025-21417	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21339	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21293	hot	Microsoft	Windows	Active Directory Domain Services Elevation of Privilege Vulnerability
CVE-2025-21285	hot	Microsoft	Windows	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
CVE-2025-21378	hot	Microsoft	Windows	Windows CSC Service Elevation of Privilege Vulnerability
CVE-2025-21303	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21246	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21354	hot	Microsoft	Office Online Server	Microsoft Excel Remote Code Execution Vulnerability
CVE-2025-21211	hot	Microsoft	Windows	Secure Boot Security Feature Bypass Vulnerability
CVE-2025-21138	hot	Adobe	Substance3D - Designer	Substance3D - Designer versions 14.0 and earlier are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21207	hot	Microsoft	Windows	Windows Connected Devices Platform Service (Cdpsvc) Denial of Service Vulnerability
CVE-2025-21315	hot	Microsoft	Windows	Microsoft Brokering File System Elevation of Privilege Vulnerability
CVE-2025-21250	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21227	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21362	hot	Microsoft	Office Online Server	Microsoft Excel Remote Code Execution Vulnerability
CVE-2025-21270	hot	Microsoft	Windows	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
CVE-2025-21335	hot	Microsoft	Windows	Windows Hyper-V NT Kernel Integration VSP Elevation of Privilege Vulnerability
CVE-2025-21266	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21323	hot	Microsoft	Windows	Windows Kernel Memory Information Disclosure Vulnerability
CVE-2025-21289	hot	Microsoft	Windows	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
CVE-2025-21231	hot	Microsoft	Windows	IP Helper Denial of Service Vulnerability
CVE-2025-21374	hot	Microsoft	Windows	Windows CSC Service Information Disclosure Vulnerability
CVE-2025-21134	hot	Adobe	Illustrator on iPad	Illustrator on iPad versions 3.0.7 and earlier are affected by an Integer Underflow (Wrap or Wraparound) vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21122	hot	Adobe	Photoshop Desktop	"Photoshop Desktop versions 25.12, 26.1 and earlier are affected by an Integer Underflow (Wrap or Wraparound) vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file."
CVE-2025-21319	hot	Microsoft	Windows	Windows Kernel Memory Information Disclosure Vulnerability
CVE-2025-21318	hot	Microsoft	Windows	Windows Kernel Memory Information Disclosure Vulnerability
CVE-2025-21135	hot	Adobe	Animate	"Animate versions 24.0.6, 23.0.9 and earlier are affected by an Integer Underflow (Wrap or Wraparound) vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file."
CVE-2025-21230	hot	Microsoft	Windows	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
CVE-2025-21288	hot	Microsoft	Windows	Windows COM Server Information Disclosure Vulnerability
CVE-2025-21271	hot	Microsoft	Windows	Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability
CVE-2025-21334	hot	Microsoft	Windows	Windows Hyper-V NT Kernel Integration VSP Elevation of Privilege Vulnerability
CVE-2025-21226	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21363	hot	Microsoft	Microsoft 365 Apps for Enterprise	Microsoft Word Remote Code Execution Vulnerability
CVE-2025-21178	hot	Microsoft	Microsoft Visual Studio 2017 version 15.9 (includes 15.0 - 15.8)	Visual Studio Remote Code Execution Vulnerability
CVE-2025-21314	hot	Microsoft	Windows	Windows SmartScreen Spoofing Vulnerability
CVE-2025-21251	hot	Microsoft	Windows	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
CVE-2025-21343	hot	Microsoft	Windows	Windows Web Threat Defense User Service Information Disclosure Vulnerability
CVE-2025-21139	hot	Adobe	Substance3D - Designer	Substance3D - Designer versions 14.0 and earlier are affected by a Heap-based Buffer Overflow vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21210	hot	Microsoft	Windows	Windows BitLocker Information Disclosure Vulnerability
CVE-2025-21302	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21284	hot	Microsoft	Windows	Windows Virtual Trusted Platform Module Denial of Service Vulnerability
CVE-2025-21338	hot	Microsoft	Windows	GDI+ Remote Code Execution Vulnerability
CVE-2025-21292	hot	Microsoft	Windows	Windows Search Service Elevation of Privilege Vulnerability
CVE-2025-21380	hot	Microsoft	Marketplace SaaS	Improper access control in Azure SaaS Resources allows an authorized attacker to disclose information over a network.
CVE-2025-21364	hot	Microsoft	Microsoft 365 Apps for Enterprise	Microsoft Excel Security Feature Bypass Vulnerability
CVE-2025-21276	hot	Microsoft	Windows	Windows MapUrlToZone Denial of Service Vulnerability
CVE-2025-21299	hot	Microsoft	Windows	Windows Kerberos Security Feature Bypass Vulnerability
CVE-2025-21333	hot	Microsoft	Windows	Windows Hyper-V NT Kernel Integration VSP Elevation of Privilege Vulnerability
CVE-2025-21260	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21630	hot			
CVE-2025-21325	hot	Microsoft	Windows	Windows Secure Kernel Mode Elevation of Privilege Vulnerability
CVE-2025-21237	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21372	hot	Microsoft	Windows	Microsoft Brokering File System Elevation of Privilege Vulnerability
CVE-2025-21309	hot	Microsoft	Windows	Windows Remote Desktop Services Remote Code Execution Vulnerability
CVE-2025-21132	hot	Adobe	Substance3D - Stager	Substance3D - Stager versions 3.0.4 and earlier are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21348	hot	Microsoft	Microsoft SharePoint Enterprise Server 2016	Microsoft SharePoint Server Remote Code Execution Vulnerability
CVE-2025-21173	hot	Microsoft	.NET 8.0	.NET Elevation of Privilege Vulnerability
CVE-2025-21411	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21295	hot	Microsoft	Windows	SPNEGO Extended Negotiation (NEGOEX) Security Mechanism Remote Code Execution Vulnerability
CVE-2025-21329	hot	Microsoft	Windows	MapUrlToZone Security Feature Bypass Vulnerability
CVE-2025-21305	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21240	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21186	hot	Microsoft	Microsoft Office 2019	Microsoft Access Remote Code Execution Vulnerability
CVE-2025-21217	hot	Microsoft	Windows	Windows NTLM Spoofing Vulnerability
CVE-2025-21344	hot	Microsoft	Microsoft SharePoint Enterprise Server 2016	Microsoft SharePoint Server Remote Code Execution Vulnerability
CVE-2025-21128	hot	Adobe	Substance3D - Stager	Substance3D - Stager versions 3.0.4 and earlier are affected by a Stack-based Buffer Overflow vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21313	hot	Microsoft	Windows	Windows Security Account Manager (SAM) Denial of Service Vulnerability
CVE-2025-21606	hot	exelban	stats	"stats is a macOS system monitor in for the menu bar. The Stats application is vulnerable to a local privilege escalation due to the insecure implementation of its XPC service. The application registers a Mach service under the name `eu.exelban.Stats.SMC.Helper`. The associated binary, eu.exelban.Stats.SMC.Helper, is a privileged helper tool designed to execute actions requiring elevated privileges on behalf of the client, such as setting fan modes, adjusting fan speeds, and executing the `powermetrics` command. The root cause of this vulnerability lies in the `shouldAcceptNewConnection` method, which unconditionally returns YES (or true), allowing any XPC client to connect to the service without any form of verification. As a result, unauthorized clients can establish a connection to the Mach service and invoke methods exposed by the HelperTool interface. An attacker can exploit this vulnerability to modify the hardware settings of the userâ€™s device and execute arbitrary code with root privileges. This issue has been addressed in version 2.11.21 and all users are advised to upgrade. There are no known workarounds for this vulnerability."
CVE-2025-21256	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21312	hot	Microsoft	Windows	Windows Smart Card Reader Information Disclosure Vulnerability
CVE-2025-21257	hot	Microsoft	Windows	Windows WLAN AutoConfig Service Information Disclosure Vulnerability
CVE-2025-21129	hot	Adobe	Substance3D - Stager	Substance3D - Stager versions 3.0.4 and earlier are affected by a Heap-based Buffer Overflow vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21596	hot	Juniper Networks	Junos OS	"An Improper Handling of Exceptional Conditions vulnerability in the command-line processing of Juniper Networks Junos OS on SRX1500, SRX4100, and SRX4200 devices allows a local, low-privileged authenticated attacker executing the 'show chassis environment pem' command to cause the chassis daemon (chassisd) to crash and restart, resulting in a temporary Denial of Service (DoS). However, repeated execution of this command will eventually cause the chassisd process to fail to restart, impacting packet processing on the system.

This issue affects Junos OS on SRX1500, SRX4100, SRX4200: 



  *  All versions before 21.4R3-S9, 
  *  from 22.2 before 22.2R3-S5, 
  *  from 22.3 before 22.3R3-S4, 
  *  from 22.4 before 22.4R3-S4, 
  *  from 23.2 before 23.2R2-S3, 
  *  from 23.4 before 23.4R2-S1."
CVE-2025-21345	hot	Microsoft	Microsoft Office 2019	Microsoft Office Visio Remote Code Execution Vulnerability
CVE-2025-21187	hot	Microsoft	Power Automate for Desktop	Microsoft Power Automate Remote Code Execution Vulnerability
CVE-2025-21304	hot	Microsoft	Windows	Microsoft DWM Core Library Elevation of Privilege Vulnerability
CVE-2025-21241	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21282	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21328	hot	Microsoft	Windows	MapUrlToZone Security Feature Bypass Vulnerability
CVE-2025-21294	hot	Microsoft	Windows	Microsoft Digest Authentication Remote Code Execution Vulnerability
CVE-2025-21172	hot	Microsoft	Microsoft Visual Studio 2017 version 15.9 (includes 15.0 - 15.8)	.NET and Visual Studio Remote Code Execution Vulnerability
CVE-2025-21133	hot	Adobe	Illustrator on iPad	Illustrator on iPad versions 3.0.7 and earlier are affected by an Integer Underflow (Wrap or Wraparound) vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21308	hot	Microsoft	Windows	Windows Themes Spoofing Vulnerability
CVE-2025-21236	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21261	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21324	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21277	hot	Microsoft	Windows	Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
CVE-2025-21298	hot	Microsoft	Windows	Windows OLE Remote Code Execution Vulnerability
CVE-2025-21332	hot	Microsoft	Windows	MapUrlToZone Security Feature Bypass Vulnerability
CVE-2025-21220	hot	Microsoft	Windows	Microsoft Message Queuing Information Disclosure Vulnerability
CVE-2025-21365	hot	Microsoft	Microsoft 365 Apps for Enterprise	Microsoft Office Remote Code Execution Vulnerability
CVE-2025-20166	hot	Cisco	Cisco Common Services Platform Collector Software	"A vulnerability in the web-based management interface of Cisco Common Services Platform Collector (CSPC) could allow an authenticated, remote attacker to conduct cross-site scripting (XSS) attacks against a user of the interface.

This vulnerability is due to insufficient validation of user-supplied input by the web-based management interface of an affected system. An attacker could exploit this vulnerability by injecting malicious code into specific pages of the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To exploit this vulnerability, the attacker must have at least a low-privileged account on an affected device.
Cisco has not released software updates that address this vulnerability. There are no workarounds that address this vulnerability."
CVE-2025-20055	hot	Y'S corporation	STEALTHONE D220	OS command injection vulnerability exists in network storage servers STEALTHONE D220/D340 provided by Y'S corporation. An attacker who can access the affected product may execute an arbitrary OS command.
CVE-2025-20126	hot	Cisco	Cisco ThousandEyes Endpoint Agent	"A vulnerability in certification validation routines of Cisco ThousandEyes Endpoint Agent for macOS and RoomOS could allow an unauthenticated, remote attacker to intercept or manipulate metrics information.

This vulnerability exists because the affected software does not properly validate certificates for hosted metrics services. An on-path attacker could exploit this vulnerability by intercepting network traffic using a crafted certificate. A successful exploit could allow the attacker to masquerade as a trusted host and monitor or change communications between the remote metrics service and the vulnerable client."
CVE-2025-20167	hot	Cisco	Cisco Common Services Platform Collector Software	"A vulnerability in the web-based management interface of Cisco Common Services Platform Collector (CSPC) could allow an authenticated, remote attacker to conduct cross-site scripting (XSS) attacks against a user of the interface.

This vulnerability is due to insufficient validation of user-supplied input by the web-based management interface of an affected system. An attacker could exploit this vulnerability by injecting malicious code into specific pages of the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To exploit this vulnerability, the attacker must have at least a low-privileged account on an affected device.
Cisco has not released software updates that address this vulnerability. There are no workarounds that address this vulnerability."
CVE-2025-20072	hot	Mattermost	Mattermost	"Mattermost Mobile versions <= 2.22.0 fail to properly validate the style of proto supplied to an action's style in post.props.attachments, which allows an attacker to crash the mobile via crafted malicious input."
CVE-2025-20123	hot	Cisco	Cisco Crosswork Network Change Automation	"Multiple vulnerabilities in the web-based management interface of Cisco Crosswork Network Controller could allow an authenticated, remote attacker to conduct cross-site scripting (XSS) attacks against users of the interface of an affected system.

These vulnerabilities exist because the web-based management interface does not properly validate user-supplied input. An attacker could exploit these vulnerabilities by inserting malicious data into specific data fields in the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To exploit these vulnerabilities, the attacker must have valid administrative credentials.
Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities."
CVE-2025-20620	hot	Y'S corporation	STEALTHONE D220	SQL Injection vulnerability exists in STEALTHONE D220/D340 provided by Y'S corporation. An attacker who can access the affected product may obtain the administrative password of the web management page.
CVE-2025-20168	hot	Cisco	Cisco Common Services Platform Collector Software	"A vulnerability in the web-based management interface of Cisco Common Services Platform Collector (CSPC) could allow an authenticated, remote attacker to conduct cross-site scripting (XSS) attacks against a user of the interface.

This vulnerability is due to insufficient validation of user-supplied input by the web-based management interface of an affected system. An attacker could exploit this vulnerability by injecting malicious code into specific pages of the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To exploit this vulnerability, the attacker must have at least a low-privileged account on an affected device.
Cisco has not released software updates that address this vulnerability. There are no workarounds that address this vulnerability."
CVE-2025-20016	hot	Y'S corporation	STEALTHONE D220	OS command injection vulnerability exists in network storage servers STEALTHONE D220/D340/D440 provided by Y'S corporation. A user with an administrative privilege who logged in to the web management page of the affected product may execute an arbitrary OS command.
