cve,state,assigner,published,title,description,vendor,product,rating
CVE-2025-0079,PUBLISHED,google_android,2025-08-26T22:48:38.633Z,,"In multiple locations, there is a possible way that avdtp and avctp channels could be unencrypted due to a logic error in the code. This could lead to local escalation of privilege with User execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0080,PUBLISHED,google_android,2025-08-26T22:48:39.638Z,,"In multiple locations, there is a possible way to overlay the installation confirmation dialog due to a tapjacking/overlay attack. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0081,PUBLISHED,google_android,2025-08-26T22:48:40.650Z,,"In dng_lossless_decoder::HuffDecode of dng_lossless_jpeg.cpp, there is a possible way to cause a crash due to uninitialized data. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0082,PUBLISHED,google_android,2025-08-26T22:48:41.698Z,,"In multiple functions of StatusHint.java and TelecomServiceImpl.java, there is a possible way to reveal images across users due to a confused deputy. This could lead to local information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0083,PUBLISHED,google_android,2025-08-26T22:48:42.711Z,,"In multiple locations, there is a possible way to access content across user profiles due to URI double encoding. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0084,PUBLISHED,google_android,2025-08-26T22:48:43.740Z,,"In multiple locations, there is a possible out of bounds write due to a use after free. This could lead to remote code execution over Bluetooth, if HFP support is enabled, with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0086,PUBLISHED,google_android,2025-08-26T22:48:44.753Z,,"In onResult of AccountManagerService.java, there is a possible way to overwrite auth token due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0092,PUBLISHED,google_android,2025-08-26T22:48:45.758Z,,"In handleBondStateChanged of AdapterService.java, there is a possible permission bypass due to misleading or insufficient UI. This could lead to remote (proximal/adjacent) information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0093,PUBLISHED,google_android,2025-08-26T22:48:46.854Z,,"In handleBondStateChanged of AdapterService.java, there is a possible unapproved data access due to a missing permission check. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0101,PUBLISHED,CERTVDE,2025-04-16T07:29:06.441Z,WAGO: Year 2038 problem,A low privileged user can set the date of the devices to the 19th of January 2038 an therefore exceed the 32-Bit time limit. This causes some functions to work unexpected or stop working at all. Both during runtime and after a restart.,WAGO,CC100 0751-9x01; PFC100 G1 0750-810x/xxxx-xxxx; PFC100 G2 0750-811x-xxxx-xxxx; PFC200 G1 750-820x-xxx-xxx; PFC200 G2 750-821x-xxx-xxx; TP600 0762-420x/8000-000x; TP600 0762-430x/8000-000x; TP600 0762-520x/8000-000x; TP600 0762-530x/8000-000x; TP600 0762-620x/8000-000x; TP600 0762-630x/8000-000x; WAGO CC100 0751-9x01; WAGO Edge Controller 0752-8303/8000-0002,warm
CVE-2025-0103,PUBLISHED,palo_alto,2025-01-11T02:59:51.177Z,Expedition: SQL Injection Vulnerability,"An SQL injection vulnerability in Palo Alto Networks Expedition enables an authenticated attacker to reveal Expedition database contents, such as password hashes, usernames, device configurations, and device API keys. This vulnerability also enables attackers to create and read arbitrary files on the Expedition system.",PALO ALTO NETWORKS,Cloud NGFW; Expedition; PAN-OS; Panorama; Prisma Access,hot
CVE-2025-0104,PUBLISHED,palo_alto,2025-01-11T03:00:40.318Z,Expedition: Cross-Site Scripting (XSS) Vulnerability,A reflected cross-site scripting (XSS) vulnerability in Palo Alto Networks Expedition enables attackers to execute malicious JavaScript code in the context of an authenticated Expedition user’s browser if that authenticated user clicks a malicious link that allows phishing attacks and could lead to Expedition browser-session theft.,PALO ALTO NETWORKS,Cloud NGFW; Expedition; PAN-OS; Panorama; Prisma Access,hot
CVE-2025-0105,PUBLISHED,palo_alto,2025-01-11T03:01:24.168Z,Expedition: Arbitrary File Deletion Vulnerability,An arbitrary file deletion vulnerability in Palo Alto Networks Expedition enables an unauthenticated attacker to delete arbitrary files accessible to the www-data user on the host filesystem.,PALO ALTO NETWORKS,Cloud NGFW; Expedition; PAN-OS; Panorama; Prisma Access,hot
CVE-2025-0106,PUBLISHED,palo_alto,2025-01-11T03:02:24.574Z,Expedition: Wildcard Expansion Vulnerability,A wildcard expansion vulnerability in Palo Alto Networks Expedition allows an unauthenticated attacker to enumerate files on the host filesystem.,PALO ALTO NETWORKS,Cloud NGFW; Expedition; PAN-OS; Panorama; Prisma Access,hot
CVE-2025-0107,PUBLISHED,palo_alto,2025-01-11T03:02:49.517Z,Expedition: OS Command Injection Vulnerability,"An OS command injection vulnerability in Palo Alto Networks Expedition enables an unauthenticated attacker to run arbitrary OS commands as the www-data user in Expedition, which results in the disclosure of usernames, cleartext passwords, device configurations, and device API keys for firewalls running PAN-OS software.",PALO ALTO NETWORKS,Cloud NGFW; Expedition; PAN-OS; Panorama; Prisma Access,hot
CVE-2025-0108,PUBLISHED,palo_alto,2025-02-12T20:55:34.610Z,PAN-OS: Authentication Bypass in the Management Web Interface,"An authentication bypass in the Palo Alto Networks PAN-OS software enables an unauthenticated attacker with network access to the management web interface to bypass the authentication otherwise required by the PAN-OS management web interface and invoke certain PHP scripts. While invoking these PHP scripts does not enable remote code execution, it can negatively impact integrity and confidentiality of PAN-OS.

You can greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practices deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue does not affect Cloud NGFW or Prisma Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,hot
CVE-2025-0109,PUBLISHED,palo_alto,2025-02-12T20:56:00.946Z,PAN-OS: Unauthenticated File Deletion Vulnerability on the Management Web Interface,"An unauthenticated file deletion vulnerability in the Palo Alto Networks PAN-OS management web interface enables an unauthenticated attacker with network access to the management web interface to delete certain files as the “nobody” user; this includes limited logs and configuration files but does not include system files.


You can greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practices deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue does not affect Cloud NGFW or Prisma Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,hot
CVE-2025-0110,PUBLISHED,palo_alto,2025-02-12T21:04:42.675Z,PAN-OS OpenConfig Plugin: Command Injection Vulnerability in OpenConfig Plugin,"A command injection vulnerability in the Palo Alto Networks PAN-OS OpenConfig plugin enables an authenticated administrator with the ability to make gNMI requests to the PAN-OS management web interface to bypass system restrictions and run arbitrary commands. The commands are run as the “__openconfig” user (which has the Device Administrator role) on the firewall.

You can greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practices deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .",PALO ALTO NETWORKS,PAN-OS OpenConfig Plugin,hot
CVE-2025-0111,PUBLISHED,palo_alto,2025-02-12T20:58:43.387Z,PAN-OS: Authenticated File Read Vulnerability in the Management Web Interface,"An authenticated file read vulnerability in the Palo Alto Networks PAN-OS software enables an authenticated attacker with network access to the management web interface to read files on the PAN-OS filesystem that are readable by the “nobody” user.

You can greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practices deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .



This issue does not affect Cloud NGFW or Prisma Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,hot
CVE-2025-0112,PUBLISHED,palo_alto,2025-02-19T23:44:33.652Z,Cortex XDR Agent: Local Windows User Can Disable the Agent,A problem with a detection mechanism in the Palo Alto Networks Cortex XDR agent on Windows devices enables a user with Windows non-administrative privileges to disable the agent. This vulnerability can also be leveraged by malware to disable the Cortex XDR agent and then perform malicious activity.,PALO ALTO NETWORKS,Cortex XDR Agent,hot
CVE-2025-0113,PUBLISHED,palo_alto,2025-02-12T21:05:08.795Z,Cortex XDR Broker VM: Unauthorized Access to Broker VM Docker Containers,A problem with the network isolation mechanism of the Palo Alto Networks Cortex XDR Broker VM allows attackers unauthorized access to Docker containers from the host network used by Broker VM. This may allow access to read files sent for analysis and logs transmitted by the Cortex XDR Agent to the Cortex XDR server.,PALO ALTO NETWORKS,Cortex XDR Broker VM,hot
CVE-2025-0114,PUBLISHED,palo_alto,2025-03-12T18:20:05.608Z,PAN-OS: Denial of Service (DoS) in GlobalProtect,"A Denial of Service (DoS) vulnerability in the GlobalProtect feature of Palo Alto Networks PAN-OS software enables an unauthenticated attacker to render the service unavailable by sending a large number of specially crafted packets over a period of time. This issue affects both the GlobalProtect portal and the GlobalProtect gateway.

This issue does not apply to Cloud NGFWs or Prisma Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,hot
CVE-2025-0115,PUBLISHED,palo_alto,2025-03-12T18:30:13.503Z,PAN-OS: Authenticated Admin File Read Vulnerability in PAN-OS CLI,"A vulnerability in the Palo Alto Networks PAN-OS software enables an authenticated admin on the PAN-OS CLI to read arbitrary files.

The attacker must have network access to the management interface (web, SSH, console, or telnet) and successfully authenticate to exploit this issue. You can greatly reduce the risk of this issue by restricting access to the management interface to only trusted users and internal IP addresses according to our recommended  critical deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue does not affect Cloud NGFW or Prisma Access.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,hot
CVE-2025-0116,PUBLISHED,palo_alto,2025-03-12T18:34:38.222Z,PAN-OS: Firewall Denial of Service (DoS) Using a Specially Crafted LLDP Frame,"A Denial of Service (DoS) vulnerability in Palo Alto Networks PAN-OS software causes the firewall to unexpectedly reboot when processing a specially crafted LLDP frame sent by an unauthenticated adjacent attacker. Repeated attempts to initiate this condition causes the firewall to enter maintenance mode.

This issue does not apply to Cloud NGFWs or Prisma Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,hot
CVE-2025-0117,PUBLISHED,palo_alto,2025-03-12T18:35:35.409Z,GlobalProtect App: Local Privilege Escalation (PE) Vulnerability,"A reliance on untrusted input for a security decision in the GlobalProtect app on Windows devices potentially enables a locally authenticated non-administrative Windows user to escalate their privileges to NT AUTHORITY\SYSTEM.

GlobalProtect App on macOS, Linux, iOS, Android, Chrome OS and GlobalProtect UWP App are not affected.",PALO ALTO NETWORKS,GlobalProtect App; GlobalProtect UWP App,hot
CVE-2025-0118,PUBLISHED,palo_alto,2025-03-12T18:36:44.290Z,GlobalProtect App: Execution of Unsafe ActiveX Control Vulnerability,"A vulnerability in the Palo Alto Networks GlobalProtect app on Windows allows a remote attacker to run ActiveX controls within the context of an authenticated Windows user. This enables the attacker to run commands as if they are a legitimate authenticated user. However, to exploit this vulnerability, the authenticated user must navigate to a malicious page during the GlobalProtect SAML login process on a Windows device.

This issue does not apply to the GlobalProtect app on other (non-Windows) platforms.",PALO ALTO NETWORKS,GlobalProtect App; GlobalProtect UWP App,hot
CVE-2025-0119,PUBLISHED,palo_alto,2025-04-11T17:37:54.484Z,Cortex XDR Broker VM: Authenticated Command Injection Vulnerability in Broker VM,A command injection vulnerability in the Palo Alto Networks Cortex XDR® Broker VM allows an authenticated user to execute arbitrary OS commands with root privileges on the host operating system running Broker VM.,PALO ALTO NETWORKS,Cortex XDR Broker VM,hot
CVE-2025-0120,PUBLISHED,palo_alto,2025-04-11T01:44:48.253Z,GlobalProtect App: Local Privilege Escalation (PE) Vulnerability,"A vulnerability with a privilege management mechanism in the Palo Alto Networks GlobalProtect™ app on Windows devices allows a locally authenticated non-administrative Windows user to escalate their privileges to NT AUTHORITY\SYSTEM. However, execution requires that the local user can also successfully exploit a race condition, which makes this vulnerability difficult to exploit.",PALO ALTO NETWORKS,GlobalProtect App; GlobalProtect UWP App,hot
CVE-2025-0121,PUBLISHED,palo_alto,2025-04-11T01:45:54.148Z,Cortex XDR Agent: Local Windows User Can Crash the Agent,"A null pointer dereference vulnerability in the Palo Alto Networks Cortex® XDR agent on Windows devices allows a low-privileged local Windows user to crash the agent. Additionally, malware can use this vulnerability to perform malicious activity without Cortex XDR being able to detect it.",PALO ALTO NETWORKS,Cortex XDR Agent,hot
CVE-2025-0122,PUBLISHED,palo_alto,2025-04-11T01:48:04.772Z,Prisma SD-WAN: Denial of Service (DoS) Vulnerability Through Burst of Crafted Packets,A denial-of-service (DoS) vulnerability in Palo Alto Networks Prisma® SD-WAN ION devices enables an unauthenticated attacker in a network adjacent to a Prisma SD-WAN ION device to disrupt the packet processing capabilities of the device by sending a burst of crafted packets to that device.,PALO ALTO NETWORKS,Prisma SD-WAN,hot
CVE-2025-0123,PUBLISHED,palo_alto,2025-04-11T17:43:05.126Z,PAN-OS: Information Disclosure Vulnerability in HTTP/2 Packet Captures,"A vulnerability in the Palo Alto Networks PAN-OS® software enables unlicensed administrators to view clear-text data captured using the  packet capture feature https://docs.paloaltonetworks.com/pan-os/11-0/pan-os-admin/monitoring/take-packet-captures/take-a-custom-packet-capture  in decrypted HTTP/2 data streams traversing network interfaces on the firewall. HTTP/1.1 data streams are not impacted.

In normal conditions, decrypted packet captures are available to firewall administrators after they obtain and install a free Decryption Port Mirror license. The license requirement ensures that this feature can only be used after approved personnel purposefully activate the license. For more information, review how to  configure decryption port mirroring https://docs.paloaltonetworks.com/network-security/decryption/administration/monitoring-decryption/configure-decryption-port-mirroring .

The administrator must obtain network access to the management interface (web, SSH, console, or telnet) and successfully authenticate to exploit this issue. Risk of this issue can be greatly reduced by restricting access to the management interface to only trusted administrators and from only internal IP addresses according to our recommended  critical deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

Customer firewall administrators do not have access to the packet capture feature in Cloud NGFW. This feature is available only to authorized Palo Alto Networks personnel permitted to perform troubleshooting.

Prisma® Access is not impacted by this vulnerability.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,hot
CVE-2025-0124,PUBLISHED,palo_alto,2025-04-11T01:55:33.563Z,PAN-OS: Authenticated File Deletion Vulnerability on the Management Web Interface,"An authenticated file deletion vulnerability in the Palo Alto Networks PAN-OS® software enables an authenticated attacker with network access to the management web interface to delete certain files as the “nobody” user; this includes limited logs and configuration files but does not include system files.

The attacker must have network access to the management web interface to exploit this issue. You greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  critical deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue affects Cloud NGFW. However, this issue does not affect Prisma® Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,hot
CVE-2025-0125,PUBLISHED,palo_alto,2025-04-11T01:56:17.171Z,PAN-OS: Improper Neutralization of Input in the Management Web Interface,"An improper input neutralization vulnerability in the management web interface of the Palo Alto Networks PAN-OS® software enables a malicious authenticated read-write administrator to impersonate another legitimate authenticated PAN-OS administrator.


The attacker must have network access to the management web interface to exploit this issue. You greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  critical deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue does not affect Cloud NGFW and all Prisma® Access instances.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,hot
