cve	rating	assigner	published	title	description	vendor	product
CVE-2025-0060	warm	sap	2025-01-14T00:09:14.051Z	Multiple vulnerabilities in SAP BusinessObjects Business Intelligence Platform	SAP BusinessObjects Business Intelligence Platform allows an authenticated user with restricted access to inject malicious JS code which can read sensitive information from the server and send it to the attacker. The attacker could further use this information to impersonate as a high privileged user causing high impact on confidentiality and integrity of the application.	SAP_SE	SAP BusinessObjects Business Intelligence Platform
CVE-2025-0062	warm	sap	2025-03-11T00:31:18.755Z	Cross-Site Scripting (XSS) vulnerability in SAP BusinessObjects Business Intelligence Platform (Web Intelligence)	"SAP BusinessObjects Business Intelligence Platform allows an attacker to inject JavaScript code in Web Intelligence reports. This code is then executed in the victim's browser each time the vulnerable page is visited by the victim. On successful exploitation, an attacker could cause limited impact on confidentiality and integrity within the scope of victim?s browser. There is no impact on availability. This vulnerability occurs only when script/html execution is enabled by the administrator in Central Management Console."	SAP_SE	SAP BusinessObjects Business Intelligence Platform
CVE-2025-0067	warm	sap	2025-01-14T00:09:41.421Z	Missing Authorization check in SAP NetWeaver Application Server Java	"Due to a missing authorization check on service endpoints in the SAP NetWeaver Application Server Java, an attacker with standard user role can create JCo connection entries, which are used for remote function calls from or to the application server. This could lead to low impact on confidentiality, integrity, and availability of the application."	SAP_SE	SAP NetWeaver Application Server Java
CVE-2025-0071	warm	sap	2025-03-11T00:31:34.767Z	Information Disclosure vulnerability in SAP Web Dispatcher and Internet Communication Manager	"SAP Web Dispatcher and Internet Communication Manager allow an attacker with administrative privileges to enable debugging trace mode with a specific parameter value. This exposes unencrypted passwords in the logs, causing a high impact on the confidentiality of the application. There is no impact on integrity or availability."	SAP_SE	SAP Web Dispatcher and Internet Communication Manager
CVE-2025-0072	warm	Arm	2025-05-02T09:54:20.441Z	Mali GPU Kernel Driver allows improper GPU memory processing operations	"Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user process to perform improper GPU memory processing operations to gain access to already freed memory.

This issue affects Valhall GPU Kernel Driver: from r29p0 through r49p3, from r50p0 through r53p0; Arm 5th Gen GPU Architecture Kernel Driver: from r41p0 through r49p3, from r50p0 through r53p0."	ARM	Arm 5th Gen GPU Architecture Kernel Driver; Valhall GPU Kernel Driver
CVE-2025-0073	warm	Arm	2025-06-02T11:04:17.019Z	Mali GPU Kernel Driver allows improper GPU memory processing operations	"Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user process to perform improper GPU memory processing operations to gain access to already freed memory.This issue affects Valhall GPU Kernel Driver: from r53p0 before r54p0; Arm 5th Gen GPU Architecture Kernel Driver: from r53p0 before r54p0."	ARM	Arm 5th Gen GPU Architecture Kernel Driver; Valhall GPU Kernel Driver
CVE-2025-0101	warm	CERTVDE	2025-04-16T07:29:06.441Z	WAGO: Year 2038 problem	A low privileged user can set the date of the devices to the 19th of January 2038 an therefore exceed the 32-Bit time limit. This causes some functions to work unexpected or stop working at all. Both during runtime and after a restart.	WAGO	CC100 0751-9x01; PFC100 G1 0750-810x/xxxx-xxxx; PFC100 G2 0750-811x-xxxx-xxxx; PFC200 G1 750-820x-xxx-xxx; PFC200 G2 750-821x-xxx-xxx; TP600 0762-420x/8000-000x; TP600 0762-430x/8000-000x; TP600 0762-520x/8000-000x; TP600 0762-530x/8000-000x; TP600 0762-620x/8000-000x; TP600 0762-630x/8000-000x; WAGO CC100 0751-9x01; WAGO Edge Controller 0752-8303/8000-0002
CVE-2025-0131	warm	palo_alto	2025-05-14T18:06:45.870Z	GlobalProtect App: Incorrect Privilege Management Vulnerability in OPSWAT MetaDefender Endpoint Security SDK	"An incorrect privilege management vulnerability in the OPSWAT MetaDefender Endpoint Security SDK used by the Palo Alto Networks GlobalProtect™ app on Windows devices allows a locally authenticated non-administrative Windows user to escalate their privileges to NT AUTHORITY\SYSTEM. However, execution requires that the local user also successfully exploits a race condition, which makes this vulnerability difficult to exploit."	OPSWAT	MetaDefender Endpoint Security SDK
CVE-2025-0144	warm	Zoom	2025-01-30T19:44:06.908Z	Zoom Workplace Apps - Out-of-bounds Write	Out-of-bounds write in some Zoom Workplace Apps may allow an authorized user to conduct a loss of integrity via network access.	ZOOM	Zoom Workplace Apps
CVE-2025-0145	warm	Zoom	2025-01-30T19:45:39.432Z	Zoom Workplace Apps for Windows - Untrusted Search Path	Untrusted search path in the installer for some Zoom Workplace Apps for Windows may allow an authorized user to conduct an escalation of privilege via local access.	ZOOM	Zoom Workplace Apps for Windows
CVE-2025-0147	warm	Zoom	2025-01-30T19:49:00.792Z	Zoom Workplace App for Linux - Type Confusion	Type confusion in the Zoom Workplace App for Linux before 6.2.10 may allow an authorized user to conduct an escalation of privilege via network access.	ZOOM	Zoom Workplace App for Linux
CVE-2025-0149	warm	Zoom	2025-03-11T17:04:02.453Z	Zoom Apps - Insufficient Verification of Data Authenticity	Insufficient verification of data authenticity in some Zoom Workplace Apps may allow an unprivileged user to conduct a denial of service via network access.	ZOOM	Zoom Apps
CVE-2025-0151	warm	Zoom	2025-03-11T17:08:50.327Z	Zoom Apps - Use After Free	Use after free in some Zoom Workplace Apps may allow an authenticated user to conduct an escalation of privilege via network access.	ZOOM	Zoom Workplace Apps
CVE-2025-0154	warm	ibm	2025-04-02T15:15:46.997Z	IBM TXSeries for Multiplatforms information disclosure	IBM TXSeries for Multiplatforms 9.1 and 11.1 could disclose sensitive information to a remote attacker due to improper neutralization of HTTP headers.	IBM	TXSeries for Multiplatforms
CVE-2025-0158	warm	ibm	2025-02-06T20:32:03.556Z	IBM EntireX denial of service	IBM EntireX 11.1 could allow a local user to cause a denial of service due to an unhandled error and fault isolation.	IBM	EntireX
CVE-2025-0163	warm	ibm	2025-06-11T14:20:28.855Z	IBM Security Verify Access information disclosure	IBM Security Verify Access Appliance and Docker 10.0 through 10.0.8 could allow a remote attacker to enumerate usernames due to an observable response discrepancy of disabled accounts.	IBM	Security Verify Access; Security Verify Access Docker
CVE-2025-0182	warm	@huntr_ai	2025-03-20T10:10:00.892Z	Denial of Service in danswer-ai/danswer	"A vulnerability in danswer-ai/danswer version 0.9.0 allows for denial of service through memory exhaustion. The issue arises from the use of a vulnerable version of the starlette package (<=0.49) via fastapi, which was patched in fastapi version 0.115.3. The vulnerability can be exploited by sending multiple requests to the /auth/saml/callback endpoint, leading to uncontrolled memory consumption and eventual denial of service."	DANSWER-AI	danswer-ai/danswer
CVE-2025-0187	warm	@huntr_ai	2025-03-20T10:10:42.759Z	Denial of Service (DoS) by Sending Large Filename at File Upload Endpoint in gradio-app/gradio	"A Denial of Service (DoS) vulnerability was discovered in the file upload feature of gradio-app/gradio version 0.39.1. The vulnerability is due to improper handling of form-data with a large filename in the file upload request. By sending a payload with an excessively large filename, the server becomes overwhelmed and unresponsive, leading to unavailability for legitimate users."	GRADIO-APP	gradio-app/gradio
CVE-2025-0188	warm	@huntr_ai	2025-03-20T10:09:09.391Z	SSRF in gaizhenbiao/chuanhuchatgpt	"A Server-Side Request Forgery (SSRF) vulnerability was discovered in gaizhenbiao/chuanhuchatgpt version 20240914. The vulnerability allows an attacker to construct a response link by saving the response in a folder named after the SHA-1 hash of the target URL. This enables the attacker to access the response directly, potentially leading to unauthorized access to internal systems, data theft, service disruption, or further attacks such as port scanning and accessing metadata endpoints."	GAIZHENBIAO	gaizhenbiao/chuanhuchatgpt
CVE-2025-0190	warm	@huntr_ai	2025-03-20T10:08:48.087Z	Denial of Service in aimhubio/aim	"In version 3.25.0 of aimhubio/aim, a denial of service vulnerability exists. By tracking a large number of `Text` objects and then querying them simultaneously through the web API, the Aim web server becomes unresponsive to other requests for an extended period while processing and returning these objects. This vulnerability can be exploited repeatedly, leading to a complete denial of service."	AIMHUBIO	aimhubio/aim
CVE-2025-0191	warm	@huntr_ai	2025-03-20T10:10:46.084Z	Denial of Service in gaizhenbiao/chuanhuchatgpt	"A Denial of Service (DoS) vulnerability exists in the file upload feature of gaizhenbiao/chuanhuchatgpt version 20240914. The vulnerability is due to improper handling of form-data with a large filename in the file upload request. By sending a payload with an excessively large filename, the server becomes overwhelmed and unresponsive, leading to unavailability for legitimate users."	GAIZHENBIAO	gaizhenbiao/chuanhuchatgpt
CVE-2025-0234	warm	Canon	2025-02-26T01:52:31.822Z		Out-of-bounds vulnerability in curve segmentation processing of Generic PCL6 V4 Printer Driver / Generic UFR II V4 Printer Driver / Generic LIPSLX V4 Printer Driver.	CANON	Generic LIPSLX V4 Printer Driver; Generic PCL6 V4 Printer Driver; Generic UFR II V4 Printer Driver
CVE-2025-0235	warm	Canon	2025-02-26T01:56:24.945Z		Out-of-bounds vulnerability due to improper memory release during image rendering in Generic PCL6 V4 Printer Driver / Generic UFR II V4 Printer Driver / Generic LIPSLX V4 Printer Driver.	CANON	Generic LIPSLX V4 Printer Driver; Generic PCL6 V4 Printer Driver; Generic UFR II V4 Printer Driver
CVE-2025-0236	warm	Canon	2025-02-26T01:57:43.244Z		Out-of-bounds vulnerability in slope processing during curve rendering in Generic PCL6 V4 Printer Driver / Generic UFR II V4 Printer Driver / Generic LIPSLX V4 Printer Driver.	CANON	Generic LIPSLX V4 Printer Driver; Generic PCL6 V4 Printer Driver; Generic UFR II V4 Printer Driver
CVE-2025-0249	warm	HCL	2025-07-24T23:19:20.328Z	HCL IEM is affected by an improper invalidation of access or JWT token vulnerability	HCL IEM is affected by an improper invalidation of access or JWT token vulnerability.  A token was not invalidated which may allow attackers to access sensitive data without authorization.	HCL SOFTWARE	IEM
CVE-2025-0250	warm	HCL	2025-07-24T23:28:00.736Z	HCL IEM is affected by an authorization token sent in cookie vulnerability	HCL IEM is affected by an authorization token sent in cookie vulnerability.  A token used for authentication and authorization is being handled in a manner that may increase its exposure to security risks.	HCL SOFTWARE	IEM
CVE-2025-0251	warm	HCL	2025-07-25T00:06:08.416Z	HCL IEM is affected by a concurrent login vulnerability	"HCL IEM is affected by a concurrent login vulnerability.  The application allows multiple concurrent sessions using the same user credentials, which may introduce security risks."	HCL SOFTWARE	IEM
CVE-2025-0255	warm	HCL	2025-03-24T16:32:21.022Z	HCL DevOps Deploy / HCL Launch is susceptible to command injection vulnerability	HCL DevOps Deploy / HCL Launch could allow a remote privileged authenticated attacker to execute arbitrary commands on the system by sending specially crafted input containing special elements.	HCL SOFTWARE	HCL DevOps Deploy / HCL Launch
CVE-2025-0256	warm	HCL	2025-03-24T15:35:38.160Z	HCL DevOps Deploy / HCL Launch is susceptible to a sensitive information disclosure	HCL DevOps Deploy / HCL Launch could allow an authenticated user to obtain sensitive information about other users on the system due to missing authorization for a function.	HCL SOFTWARE	HCL DevOps Deploy / HCL Launch
CVE-2025-0257	warm	HCL	2025-04-02T22:04:02.098Z	HCL DevOps Deploy / HCL Launch is susceptible to unauthorized access to other services	HCL DevOps Deploy / HCL Launch could allow unauthorized access to other services or potential exposure of sensitive data due to missing authentication in its Agent Relay service.	HCL SOFTWARE	HCL DevOps Deploy / HCL Launch
CVE-2025-0272	warm	HCL	2025-04-03T14:56:13.459Z	HCL DevOps Deploy / HCL Launch is susceptible to an HTML injection vulnerability	HCL DevOps Deploy / HCL Launch is vulnerable to HTML injection. This vulnerability may allow a user to embed arbitrary HTML tags in the Web UI potentially leading to sensitive information disclosure.	HCL SOFTWARE	HCL DevOps Deploy / HCL Launch
CVE-2025-0278	warm	HCL	2025-04-03T22:07:59.761Z	An internal path disclosure vulnerability affects HCL Traveler	"HCL Traveler is affected by an internal path disclosure in a Windows application when the application inadvertently reveals internal file paths, in error messages, debug logs, or responses to user requests."	HCL SOFTWARE	HCL Traveler
CVE-2025-0279	warm	HCL	2025-04-03T21:48:01.004Z	HCL Traveler is affected by generation of error messages containing sensitive information	"HCL Traveler generates some error messages that provide detailed information about errors and failures, such as internal paths, file names, sensitive tokens, credentials, error codes, or stack traces.  Attackers could exploit this information to gain insights into the system's architecture and potentially launch targeted attacks."	HCL SOFTWARE	HCL Traveler
CVE-2025-0283	warm	ivanti	2025-01-08T22:15:59.822Z		"A stack-based buffer overflow in Ivanti Connect Secure before version 22.7R2.5, Ivanti Policy Secure before version 22.7R1.2, and Ivanti Neurons for ZTA gateways before version 22.7R2.3 allows a local authenticated attacker to escalate their privileges."	IVANTI	Connect Secure; Neurons for ZTA gateways; Policy Secure
CVE-2025-0292	warm	ivanti	2025-07-08T15:33:24.245Z		SSRF in Ivanti Connect Secure before version 22.7R2.8 and Ivanti Policy Secure before version 22.7R1.5 allows a remote authenticated attacker with admin rights to access internal network services.	IVANTI	Connect Secure; Policy Secure
CVE-2025-0293	warm	ivanti	2025-07-08T15:33:05.165Z		CLRF injection in Ivanti Connect Secure before version 22.7R2.8 and Ivanti Policy Secure before version 22.7R1.5 allows a remote authenticated attacker with admin rights to write to a protected configuration file on disk.	IVANTI	Connect Secure; Policy Secure
CVE-2025-0312	warm	@huntr_ai	2025-03-20T10:10:53.551Z	NULL Pointer Dereference in ollama/ollama	"A vulnerability in ollama/ollama versions <=0.3.14 allows a malicious user to create a customized GGUF model file that, when uploaded and created on the Ollama server, can cause a crash due to an unchecked null pointer dereference. This can lead to a Denial of Service (DoS) attack via remote network."	OLLAMA	ollama/ollama
CVE-2025-0315	warm	@huntr_ai	2025-03-20T10:09:48.446Z	Allocation of Resources Without Limits or Throttling in ollama/ollama	"A vulnerability in ollama/ollama <=0.3.14 allows a malicious user to create a customized GGUF model file, upload it to the Ollama server, and create it. This can cause the server to allocate unlimited memory, leading to a Denial of Service (DoS) attack."	OLLAMA	ollama/ollama
CVE-2025-0317	warm	@huntr_ai	2025-03-20T10:10:02.331Z	Divide By Zero in ollama/ollama	"A vulnerability in ollama/ollama versions <=0.3.14 allows a malicious user to upload and create a customized GGUF model file on the Ollama server. This can lead to a division by zero error in the ggufPadding function, causing the server to crash and resulting in a Denial of Service (DoS) attack."	OLLAMA	ollama/ollama
CVE-2025-0325	warm	Axis	2025-06-02T07:36:55.800Z		"A Guard Tour VAPIX API parameter allowed the use of arbitrary values and can be incorrectly called, allowing an attacker to block access to the guard tour configuration page in the web interface of the Axis device."	AXIS COMMUNICATIONS AB	AXIS OS
CVE-2025-0332	warm	ProgressSoftware	2025-02-12T15:15:31.166Z	Progress UI for WinForms decompression path traversal vulnerability	"In Progress® Telerik® UI for WinForms, versions prior to 2025 Q1 (2025.1.211), using the improper limitation of a target path can lead to decompressing an archive's content into a restricted directory."	PROGRESS SOFTWARE	Progress® Telerik® UI for WinForms
CVE-2025-0352	warm	icscert	2025-02-20T19:15:26.524Z	Rapid Response Monitoring My Security Account App Authorization Bypass Through User-Controlled Key	"Rapid Response Monitoring My Security Account App utilizes an API that could be exploited by an attacker to modify request data, potentially causing the API to return information about other users."	RAPID RESPONSE MONITORING	My Security Account App API
CVE-2025-0354	warm	NEC	2025-01-15T07:21:41.810Z		"Cross-site scripting vulnerability in NEC Corporation Aterm WG2600HS Ver.1.7.2 and earlier, WG2600HP4 Ver.1.4.2 and earlier, WG2600HM4 Ver.1.4.2 and earlier, WG2600HS2 Ver.1.3.2 and earlier, WX3000HP Ver.2.4.2 and earlier and WX4200D5 Ver.1.2.4 and earlier allows a attacker to inject an arbitrary script via the network."	NEC CORPORATION	WG2600HM4; WG2600HP4; WG2600HS; WG2600HS2; WX3000HP; WX4200D5
CVE-2025-0358	warm	Axis	2025-06-02T07:39:50.165Z		"During an annual penetration test conducted on behalf of Axis Communication, Truesec discovered a flaw in the VAPIX Device Configuration framework that allowed a privilege escalation, enabling a lower-privileged user to gain administrator privileges."	AXIS COMMUNICATIONS AB	AXIS OS
CVE-2025-0359	warm	Axis	2025-03-04T05:21:34.944Z		"During an annual penetration test conducted on behalf of Axis Communication, Truesec discovered a flaw in the ACAP Application framework that allowed applications to access restricted D-Bus methods within the framework. 
Axis has released patched AXIS OS versions for the highlighted flaw. Please refer to the Axis security advisory for more information and solution."	AXIS COMMUNICATIONS AB	AXIS OS
CVE-2025-0360	warm	Axis	2025-03-04T05:24:00.720Z		"During an annual penetration test conducted on behalf of Axis Communication, Truesec discovered a flaw in the VAPIX Device Configuration framework that could lead to an incorrect user privilege level in the VAPIX service account D-Bus API."	AXIS COMMUNICATIONS AB	AXIS OS
CVE-2025-0361	warm	Axis	2025-04-08T05:38:02.631Z		"During an annual penetration test conducted on behalf of Axis Communications, Truesec discovered a flaw in the VAPIX Device Configuration framework that allowed for unauthenticated username enumeration through the VAPIX Device Configuration SSH Management API."	AXIS COMMUNICATIONS AB	AXIS OS
CVE-2025-0412	warm	zdi	2025-01-13T03:20:44.774Z	Luxion KeyShot Viewer KSP File Parsing Memory Corruption Remote Code Execution Vulnerability	"Luxion KeyShot Viewer KSP File Parsing Memory Corruption Remote Code Execution Vulnerability. This vulnerability allows remote attackers to execute arbitrary code on affected installations of Luxion KeyShot Viewer. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file.

The specific flaw exists within the processing of KSP files. The issue results from the lack of proper validation of user-supplied data, which can result in a memory corruption condition. An attacker can leverage this vulnerability to execute code in the context of the current process. Was ZDI-CAN-22139."	LUXION	KeyShot Viewer
CVE-2025-0415	warm	Moxa	2025-04-02T06:22:11.432Z	Command Injection in NTP Setting	"A remote attacker with web administrator privileges can exploit the device’s web interface to execute arbitrary system commands through the NTP settings. Successful exploitation may result in the device entering an infinite reboot loop, leading to a total or partial denial of connectivity for downstream systems that rely on its network services."	MOXA	EDF-G1002-BP Series; EDR-8010 Series; EDR-810 Series; EDR-G9004 Series; EDR-G9010 Series; NAT-102 Series; OnCell G4302-LTE4 Series; TN-4900 Series
CVE-2025-0416	warm	NCSC-FI	2025-04-01T04:05:14.236Z	Valmet DNA Local privilege escalation through insecure DCOM configuration	Local privilege escalation through insecure DCOM configuration in Valmet DNA versions prior to C2023. The DCOM object Valmet DNA Engineering has permissions that allow it to run commands as a user with the SeImpersonatePrivilege privilege. The SeImpersonatePrivilege privilege is a Windows permission that allows a process to impersonate another user. An attacker can use this vulnerability to escalate their privileges and take complete control of the system.	VALMET	Valmet DNA
CVE-2025-0417	warm	NCSC-FI	2025-04-01T04:02:54.268Z	Valmet DNA Lack of protection against brute force attacks	Lack of protection against brute force attacks in Valmet DNA visualization in DNA Operate. The possibility to make an arbitrary number of login attempts without any rate limit gives an attacker an increased chance of guessing passwords and then performing switching operations.	VALMET	Valmet DNA
CVE-2025-0418	warm	NCSC-FI	2025-04-01T03:59:40.489Z	Valmet DNA user passwords in plain text	Valmet DNA user passwords in plain text. This practice poses a security risk as attackers who gain access to local project data can read the passwords.	VALMET	Valmet DNA
CVE-2025-0422	warm	NCSC.ch	2025-02-18T07:57:04.886Z	Authenticated Remote Code Execution via ScriptVar	"An authenticated user in the ""bestinformed Web"" application can execute commands on the underlying server running the application. (Remote Code Execution) For this, the user must be able to create ""ScriptVars"" with the type „script"" and preview them by, for example, creating a new ""Info"". By default, admin users have those permissions, but with the granular permission system, those permissions may be assigned to other users. An attacker is able to execute commands on the server running the ""bestinformed Web"" application if an account with the correct permissions was compromised before."	CORDAWARE	bestinformed Web
CVE-2025-0423	warm	NCSC.ch	2025-02-18T07:57:17.412Z	Multiple Unauthenticated Stored Cross-Site Scripting	"In the ""bestinformed Web"" application, some user input was not properly sanitized. This leads to multiple unauthenticated stored cross-site scripting vulnerabilities. An unauthenticated attacker is able to compromise the sessions of users on the server by injecting JavaScript code into their session using an ""Unauthenticated Stored Cross-Site Scripting"". The attacker is then able to ride the session of those users and can abuse their privileges on the ""bestinformed Web"" application."	CORDAWARE	bestinformed Web
CVE-2025-0425	warm	NCSC.ch	2025-02-18T07:57:35.329Z	Local Privilege Escalation via Config Manipulation	"Via the GUI of the ""bestinformed Infoclient"", a low-privileged user is by default able to change the server address of the ""bestinformed Server"" to which this client connects. This is dangerous as the ""bestinformed Infoclient"" runs with elevated permissions (""nt authority\system""). By changing the server address to a malicious server, or a script simulating a server, the user is able to escalate his privileges by abusing certain features of the ""bestinformed Web"" server. Those features include:
  *  Pushing of malicious update packages
  *  Arbitrary Registry Read as ""nt authority\system""


An attacker is able to escalate his privileges to ""nt authority\system"" on the Windows client running the ""bestinformed Infoclient"". 


This attack is not possible if a custom configuration (""Infoclient.ini"") containing the flags ""ShowOnTaskbar=false"" or ""DisabledItems=stPort,stAddress"" is deployed."	CORDAWARE	bestinformed Infoclient
CVE-2025-0426	warm	kubernetes	2025-02-13T15:16:13.703Z		A security issue was discovered in Kubernetes where a large number of container checkpoint requests made to the unauthenticated kubelet read-only HTTP endpoint may cause a Node Denial of Service by filling the Node's disk.	KUBERNETES	kubelet
CVE-2025-0427	warm	Arm	2025-05-02T09:58:00.766Z	Mali GPU Kernel Driver allows access to already freed memory	"Use After Free vulnerability in Arm Ltd Bifrost GPU Kernel Driver, Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user process to perform valid GPU processing operations to gain access to already freed memory.This issue affects Bifrost GPU Kernel Driver: from r8p0 through r49p3, from r50p0 through r51p0; Valhall GPU Kernel Driver: from r19p0 through r49p3, from r50p0 through r53p0; Arm 5th Gen GPU Architecture Kernel Driver: from r41p0 through r49p3, from r50p0 through r53p0."	ARM	Arm 5th Gen GPU Architecture Kernel Driver; Bifrost GPU Kernel Driver; Valhall GPU Kernel Driver
CVE-2025-0430	warm	icscert	2025-01-17T17:34:26.652Z	Belledonne Communications Linphone-Desktop NULL Pointer Dereference	"Belledonne Communications Linphone-Desktop 
 is vulnerable to a NULL Dereference vulnerability, which could allow a remote attacker to create a denial-of-service condition."	BELLEDONNE COMMUNICATIONS	Linphone-Desktop
CVE-2025-0431	warm	Proofpoint	2025-03-19T16:18:23.793Z	Enterprise Protection Backslash URL Rewrite Bypass	"Enterprise Protection contains a vulnerability in URL rewriting that allows an unauthenticated remote attacker to send an email which bypasses URL protections impacting the integrity of recipient's email.  This occurs due to improper filtering of backslashes within URLs and affects all versions of 8.21, 8.20 and 8.18 prior to 8.21.0 patch 5115, 8.20.6 patch 5114 and 8.18.6 patch 5113 respectively."	PROOFPOINT	Enterprise Protection
CVE-2025-0432	warm	icscert	2025-01-28T15:56:10.373Z	HMS Networks Ewon Flexy 202 Cleartext Transmission of Sensitive Information	"EWON Flexy 202 transmits user credentials in clear text with no encryption when a user is added, or user credentials are changed via its webpage."	HMS NETWORKS	Ewon Flexy 202
CVE-2025-0452	warm	@huntr_ai	2025-03-20T10:08:51.430Z	Arbitrary File Deletion in eosphoros-ai/DB-GPT	"eosphoros-ai/DB-GPT version latest is vulnerable to arbitrary file deletion on Windows systems via the '/v1/agent/hub/update' endpoint. The application fails to properly filter the '\' character, which is commonly used as a separator in Windows paths. This vulnerability allows attackers to delete any files on the host system by manipulating the 'plugin_repo_name' variable."	EOSPHOROS-AI	eosphoros-ai/db-gpt
CVE-2025-0457	warm	twcert	2025-01-16T01:37:41.739Z	NetVision Information airPASS - OS Command Injection	"The airPASS from NetVision Information has an OS Command Injection vulnerability, allowing remote attackers with regular privileges to inject and execute arbitrary OS commands."	NETVISION INFORMATION	airPASS
CVE-2025-0467	warm	imaginationtech	2025-04-18T00:32:02.991Z	GPU DDK - rgxfw_hwperf_get_packet_buffer OOB write	Kernel software installed and running inside a Guest VM may exploit memory shared with the GPU Firmware to write data outside the Guest's virtualised GPU memory.	IMAGINATION TECHNOLOGIES	Graphics DDK
