cve,published,title,description,vendor,product,score,severity,rating
CVE-2025-41066,2025-12-02 14:01:34.192000+00:00,Disclosure of sensitive information in Horde Groupware,"Horde Groupware v5.2.22 has a user enumeration vulnerability that allows an unauthenticated attacker to determine the existence of valid accounts on the system. To exploit the vulnerability, an HTTP request must be sent to ‘/imp/attachment.php’ including the parameters ‘id’ and ‘u’. If the specified user exists, the server will return the download of an empty file; if it does not exist, no download will be initiated, which unequivocally reveals the validity of the user.",Horde,Groupware,,,hot
CVE-2025-13731,2025-12-02 13:53:24.636000+00:00,Nexter Extension <= 4.4.1 - Authenticated (Contributor+) Stored Cross-Site Scripting via Shortcode,"The Nexter Extension – Site Enhancements Toolkit plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's 'nxt-year' shortcode in all versions up to, and including, 4.4.1 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers, with Contributor-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.",posimyththemes,Nexter Extension – Site Enhancements Toolkit,6.4,MEDIUM,cold
CVE-2025-13295,2025-12-02 13:43:46.582000+00:00,Sensitive Data Exposure in ArgusTech's BILGER,Insertion of Sensitive Information Into Sent Data vulnerability in Argus Technology Inc. BILGER allows Choosing Message Identifier.This issue affects BILGER: before 2.4.9.,Argus Technology Inc.,BILGER,7.5,HIGH,cold
CVE-2025-41086,2025-12-02 13:22:23.415000+00:00,Authorization bypass in GAMS from GAMS Development Corp.,"Vulnerability in the access control system of the GAMS licensing system that allows unlimited valid licenses to be generated, bypassing any usage restrictions. The validator uses an insecure checksum algorithm; knowing this algorithm and the format of the license lines, an attacker can recalculate the checksum and generate a valid license to grant themselves full privileges without credentials or access to the source code, allowing them unrestricted access to GAMS's mathematical models and commercial solvers.",AMS Development Corp.,GAMS,,,hot
CVE-2025-41015,2025-12-02 13:18:25.486000+00:00,User Enumeration vulnerability in TCMAN GIM,User Enumeration Vulnerability in TCMAN GIM v11 version 20250304. This vulnerability allows an unauthenticated attacker to determine whether a user exists on the system. The vulnerability is exploitable through the 'pda:username' parameter with 'soapaction GetUserQuestionAndAnswer' in '/WS/PDAWebService.asmx'.,TCMAN,GIM,,,warm
CVE-2025-41014,2025-12-02 13:18:13.267000+00:00,User Enumeration vulnerability in TCMAN GIM,User Enumeration Vulnerability in TCMAN GIM v11 version 20250304. This vulnerability allows an unauthenticated attacker to determine whether a user exists on the system. The vulnerability is exploitable through the 'pda:username' parameter with 'soapaction GetLastDatePasswordChange' in '/WS/PDAWebService.asmx'.,TCMAN,GIM,,,warm
CVE-2025-41013,2025-12-02 13:13:57.112000+00:00,SQL injection vulnerability in TCMAN GIM,"SQL injection vulnerability in TCMAN GIM v11 in version 20250304. This vulnerability allows an attacker to retrieve, create, update, and delete databases by sending a GET request using the 'idmant' parameter in '/PC/frmEPIS.aspx'.",TCMAN,GIM,,,warm
CVE-2025-41012,2025-12-02 13:12:43.473000+00:00,Unauthorized access vulnerability in TCMAN GIM,Unauthorized access vulnerability in TCMAN GIM v11 version 20250304. This vulnerability allows an unauthenticated attacker to determine whether a user exists on the system by using the 'pda:userId' and 'pda:newPassword' parameters with 'soapaction UnlockUser’ in '/WS/PDAWebService.asmx'.,TCMAN,GIM,,,hot
CVE-2025-40700,2025-12-02 13:08:55.540000+00:00,Reflected Cross-Site Scripting (XSS) in Governalia by IDI Eikon,Reflected Cross-Site Scripting (XSS) in IDI Eikon's Governalia. The vulnerability allows an attacker to execute JavaScript code in the victim's browser when a malicious URL with the 'q' parameter in '/search' is sent to them. This vulnerability can be exploited to steal sensitive information such as session cookies or to perform actions on behalf of the victim.,IDI Eikon,Governalia,,,warm
CVE-2025-11789,2025-12-02 13:04:38.363000+00:00,Out-of-bounds read vulnerability in Circutor SGE-PLC1000/SGE-PLC50,"Out-of-bounds read vulnerability in Circutor SGE-PLC1000/SGE-PLC50 v9.0.2. The 'DownloadFile' function converts a parameter to an integer using 'atoi()' and then uses it as an index in the 'FilesDownload' array with '(&FilesDownload)[iVar2]'. If the parameter is too large, it will access memory beyond the limits.",SGE-PLC1000 SGE-PLC50,Circutor,,,warm
CVE-2025-11788,2025-12-02 13:03:32.925000+00:00,Heap-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50,"Heap-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50 v9.0.2. In the 'ShowSupervisorParameters()' function, there is an unlimited user input that is copied to a fixed-size buffer via 'sprintf()'. The 'GetParameter(meter)' function retrieves the user input, which is directly incorporated into a buffer without size validation. An attacker can provide an excessively large input for the 'meter' parameter.",SGE-PLC1000 SGE-PLC50,Circutor,,,warm
CVE-2025-11787,2025-12-02 13:02:40.055000+00:00,Command injection vulnerability in Circutor SGE-PLC1000/SGE-PLC50,"Command injection vulnerability in the operating system in Circutor SGE-PLC1000/SGE-PLC50 v9.0.2 through the 'GetDNS()', 'CheckPing()' and 'TraceRoute()' functions.",SGE-PLC1000 SGE-PLC50,Circutor,,,warm
CVE-2025-11786,2025-12-02 13:01:37.231000+00:00,Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50,"Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50 v9.0.2. In the 'SetUserPassword()' function, the 'newPassword' parameter is directly embedded in a shell command string using 'sprintf()' without any sanitisation or validation, and then executed using 'system()'. This allows an attacker to inject arbitrary shell commands that will be executed with the same privileges as the application.",SGE-PLC1000 SGE-PLC50,Circutor,,,hot
CVE-2025-11785,2025-12-02 13:01:25.600000+00:00,Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50,"Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50 v9.0.2. In the 'ShowMeterPasswords()' function, there is an unlimited user input that is copied to a fixed-size buffer via 'sprintf()'. The 'GetParameter(meter)' function retrieves the user input, which is directly incorporated into a buffer without size validation. An attacker can provide an excessively large input for the 'meter' parameter.",SGE-PLC1000 SGE-PLC50,Circutor,,,warm
CVE-2025-11784,2025-12-02 13:01:15.908000+00:00,Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50,"Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50 v9.0.2. In the 'ShowMeterDatabase()' function, there is an unlimited user input that is copied to a fixed-size buffer via 'sprintf()'. The 'GetParameter(meter)' function retrieves the user input, which is directly incorporated into a buffer without size validation. An attacker can provide an excessively large input for the 'meter' parameter.",SGE-PLC1000 SGE-PLC50,Circutor,,,warm
CVE-2025-11783,2025-12-02 13:01:04.236000+00:00,Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50,"Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50 v9.0.2. The vulnerability is found in the 'AddEvent()' function when copying the user-controlled username input to a fixed-size buffer (48 bytes) without boundary checking. This can lead to memory corruption, resulting in possible remote code execution.",SGE-PLC1000 SGE-PLC50,Circutor,,,hot
CVE-2025-11782,2025-12-02 13:00:48.947000+00:00,Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50,Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50 v9.0.2. The 'ShowDownload()' function uses “sprintf()” to format a string that includes the user-controlled input of 'GetParameter(meter)' in the fixed-size buffer 'acStack_4c' (64 bytes) without checking the length. An attacker can provide an excessively long value for the 'meter' parameter that exceeds the 64-byte buffer size.,SGE-PLC1000 SGE-PLC50,Circutor,,,warm
CVE-2025-11781,2025-12-02 12:59:46.925000+00:00,Use of hardcoded cryptographic keys in Circutor SGE-PLC1000/SGE-PLC50,"Use of hardcoded cryptographic keys in Circutor SGE-PLC1000/SGE-PLC50 v9.0.2. The affected firmware contains a hardcoded static authentication key. An attacker with local access to the device can extract this key (e.g., by analysing the firmware image or memory dump) and create valid firmware update packages. This bypasses all intended access controls and grants full administrative privileges.",SGE-PLC1000 SGE-PLC50,Circutor,,,hot
CVE-2025-11780,2025-12-02 12:58:35.719000+00:00,Stack-based buffer overflow vulnreability in Circutor SGE-PLC1000/SGE-PLC50,"Stack-based buffer overflow vulnerability in Circutor SGE-PLC1000/SGE-PLC50 v9.0.2. In the 'showMeterReport()' function, there is an unlimited user input that is copied to a fixed-size buffer via 'sprintf()'. The 'GetParameter(meter)' function retrieves the user input, which is directly incorporated into a buffer without size validation. An attacker can provide an excessively large input for the “meter” parameter.",SGE-PLC1000 SGE-PLC50,Circutor,,,warm
CVE-2025-11779,2025-12-02 12:57:46.050000+00:00,Stack-based buffer overflow vulnreability in Circutor SGE-PLC1000/SGE-PLC50,"Stack-based buffer overflow vulnerability in CircutorSGE-PLC1000/SGE-PLC50 v9.0.2. The 'SetLan' function is invoked when a new configuration is applied. This new configuration function is activated by a management web request, which can be invoked by a user when making changes to the 'index.cgi' web application. The parameters are not being sanitised, which could lead to command injection.",SGE-PLC1000 SGE-PLC50,Circutor,,,warm
CVE-2025-11778,2025-12-02 12:56:38.092000+00:00,Stack-based buffer overflow vulnreability in Circutor SGE-PLC1000/SGE-PLC50,Stack-based buffer overflow in Circutor SGE-PLC1000/SGE-PLC50 v0.9.2. This vulnerability allows an attacker to remotely exploit memory corruption through the 'read_packet()' function of the TACACSPLUS implementation.,SGE-PLC1000 SGE-PLC50,Circutor,,,warm
CVE-2025-13879,2025-12-02 12:23:15.740000+00:00,Directory traversal vulnerability in EfficientIP's SOLIDserver IPAM,Directory traversal vulnerability in SOLIDserver IPAM v8.2.3. This vulnerability allows an authenticated user with administrator privileges to list directories other than those to which the have authorized access using the 'directory' parameter in '/mod/ajax.php?action=sections/list/list'.For examplem setting the 'directory' parameter to '/' displays files outside the 'LOCAL:///' folder.,SOLIDserver,SOLIDserver IPAM,,,warm
CVE-2025-12465,2025-12-02 12:15:22.605000+00:00,Blind SQL Injection in QuickCMS,"A Blind SQL injection vulnerability has been identified in QuickCMS. Improper neutralization of input provided by a high-privileged user into aFilesDelete allows for Blind SQL Injection attacks.

The vendor was notified early about this vulnerability, but didn't respond with the details of vulnerability or vulnerable version range. Only version 6.8 was tested and confirmed as vulnerable, other versions were not tested and might also be vulnerable.",OpenSolution,QuickCMS,,,cold
CVE-2025-13090,2025-12-02 11:20:06.843000+00:00,WP Directory Kit <= 1.4.6 - Authenticated (Admin+) SQL Injection,"The WP Directory Kit plugin for WordPress is vulnerable to SQL Injection via the 'search' parameter in all versions up to, and including, 1.4.6 due to insufficient escaping on the user supplied parameter and lack of sufficient preparation on the existing SQL query.  This makes it possible for authenticated attackers, with Administrator-level access and above, to append additional SQL queries into already existing queries that can be used to extract sensitive information from the database.",listingthemes,WP Directory Kit,4.9,MEDIUM,cold
CVE-2025-13353,2025-12-02 11:03:21.832000+00:00,gokey allows secret recovery from a seed file without the master password,"In gokey versions <0.2.0,
 a flaw in the seed decryption logic resulted in passwords incorrectly 
being derived solely from the initial vector and the AES-GCM 
authentication tag of the key seed.


This issue has been fixed in gokey version 0.2.0. This is a breaking change. The fix has invalidated any passwords/secrets that were derived from the seed file (using the -s option). Even if the input seed file stays the same, version 0.2.0 gokey will generate different secrets.


Impact
This vulnerability impacts generated keys/secrets using a seed file as an entropy input (using the -s option). Keys/secrets generated just from the master password (without the -s
 option) are not impacted. The confidentiality of the seed itself is 
also not impacted (it is not required to regenerate the seed itself). 
Specific impact includes:



  *  keys/secrets generated from a seed file may have lower entropy: it 
was expected that the whole seed would be used to generate keys (240 
bytes of entropy input), where in vulnerable versions only 28 bytes was 
used

  *  a malicious entity could have recovered all passwords, generated 
from a particular seed, having only the seed file in possession without 
the knowledge of the seed master password




Patches
The code logic bug has been fixed in gokey version 0.2.0
 and above. Due to the deterministic nature of gokey, fixed versions 
will produce different passwords/secrets using seed files, as all seed 
entropy will be used now.


System secret rotation guidance
It is advised for users to regenerate passwords/secrets using the patched version of gokey (0.2.0
 and above), and provision/rotate these secrets into respective systems 
in place of the old secret. A specific rotation procedure is 
system-dependent, but most common patterns are described below.


Systems that do not require the old password/secret for rotation
Such systems usually have a ""Forgot password"" facility or a
 similar facility allowing users to rotate their password/secrets by 
sending a unique ""magic"" link to the user's email or phone. In such 
cases users are advised to use this facility and input the newly 
generated password secret, when prompted by the system.


Systems that require the old password/secret for rotation
Such systems usually have a modal password rotation window
 usually in the user settings section requiring the user to input the 
old and the new password sometimes with a confirmation. To 
generate/recover the old password in such cases users are advised to:



  *  temporarily download  gokey version 0.1.3 https://github.com/cloudflare/gokey/releases/tag/v0.1.3  for their respective operating system to recover the old password

  *  use gokey version 0.2.0 or above to generate the new password

  *  populate the system provided password rotation form




Systems that allow multiple credentials for the same account to be provisioned
Such systems usually require a secret or a cryptographic 
key as a credential for access, but allow several credentials at the 
same time. One example is SSH: a particular user may have several 
authorized public keys configured on the SSH server for access. For such
 systems users are advised to:



  *  generate a new secret/key/credential using gokey version 0.2.0 or above

  *  provision the new secret/key/credential in addition to the existing credential on the system

  *  verify that the access or required system operation is still possible with the new secret/key/credential

  *  revoke authorization for the existing/old credential from the system




Credit
This vulnerability was found by Théo Cusnir ( @mister_mime https://hackerone.com/mister_mime ) and responsibly disclosed through Cloudflare's bug bounty program.",Cloudflare,gokey,,,cold
CVE-2025-41742,2025-12-02 10:39:08.982000+00:00,Sprecher Automation: SPRECON-E series has a critical vulnerability due to the use of static cryptographic keys in system components,"Sprecher Automations SPRECON-E-C,  SPRECON-E-P, SPRECON-E-T3 is vulnerable to attack by an unauthorized remote attacker via default cryptographic keys. The use of these keys allows the attacker to read, modify, and write projects and data, or to access any device via remote maintenance.",Sprecher Automation,SPRECON-E-C; SPRECON-E-P; SPRECON-E-T3,9.8,CRITICAL,hot
CVE-2025-41743,2025-12-02 10:38:51.692000+00:00,Sprecher Automation: SPRECON-E series prone to weak encryption of update files,"Insufficient encryption strength in Sprecher Automation SPRECON-E-C, SPRECON-E-P, and SPRECON-E-T3 allows a local unprivileged attacker to extract data from update images and thus obtain limited information about the architecture and internal processes.",Sprecher Automation,SPRECON-E-C; SPRECON-E-P; SPRECON-E-T3,4,MEDIUM,warm
CVE-2025-41744,2025-12-02 10:38:47.489000+00:00,Sprecher Automation: SPRECON-E series has static default key material for TLS connections,"Sprecher Automations SPRECON-E series uses default cryptographic keys that allow an unprivileged remote attacker to access all encrypted communications, thereby compromising confidentiality and integrity.",Sprecher Automation,SPRECON-E-C; SPRECON-E-P; SPRECON-E-T3,9.1,CRITICAL,hot
CVE-2025-13873,2025-12-02 09:56:16.762000+00:00,The feature to import a survey is prone to stored Cross-Site Script attacks,"Stored Cross-Site Scripting (XSS) in the survey-import feature of ObjectPlanet Opinio 7.26 rev12562 on web application allows an attacker to inject arbitrary JavaScript code, which executes in the browsing context of any visitor accessing the compromised survey.",ObjectPlanet,Opinio,,,warm
CVE-2025-13872,2025-12-02 09:51:59.865000+00:00,Blind Server-Side Request Forgery (SSRF) in the survey-import feature of ObjectPlanet Opinio,"Blind Server-Side Request Forgery (SSRF) in the survey-import feature of 

 ObjectPlanet Opinio 7.26 rev12562 on 

Web-based platforms allows an attacker to force the server to perform HTTP GET requests via crafted import requests 

 to an arbitrary destination.",ObjectPlanet,Opinio,,,hot
CVE-2025-13871,2025-12-02 09:42:51.187000+00:00,The feature to manage resources is prone to Cross-Site Request Forgery attacks,"Cross-Site Request Forgery (CSRF) in the resource-management feature of 

ObjectPlanet Opinio 7.26 rev12562

 allows to upload 
files on behalf of the connected users and then access such files without authentication.",ObjectPlanet,Opinio,,,warm
CVE-2025-13870,2025-12-02 09:28:44.436000+00:00,Unauthorized access and subscription vulnerability in Boards,"Mattermost versions 10.11.x <= 10.11.4, 10.5.x <= 10.5.12 fail to validate the user permission when accessing the files and subscribing to the block in Boards, which allows an authenticated user to access other board files and was able to subscribe to the block from other boards that the user does not have access to",Mattermost,Mattermost,3.1,LOW,cold
CVE-2025-13516,2025-12-02 08:24:54.808000+00:00,"SureMail – SMTP and Email Logs Plugin with Amazon SES, Postmark, and Other Providers <= 1.9.0 - Unauthenticated Arbitrary File Upload","The SureMail – SMTP and Email Logs Plugin for WordPress is vulnerable to Unrestricted Upload of File with Dangerous Type in versions up to and including 1.9.0. This is due to the plugin's save_file() function in inc/emails/handler/uploads.php which duplicates all email attachments to a web-accessible directory (wp-content/uploads/suremails/attachments/) without validating file extensions or content types. Files are saved with predictable names derived from MD5 hashes of their content. While the plugin attempts to protect this directory with an Apache .htaccess file to disable PHP execution, this protection is ineffective on nginx, IIS, and Lighttpd servers, or on misconfigured Apache installations. This makes it possible for unauthenticated attackers to achieve Remote Code Execution by uploading malicious PHP files through any public form that emails attachments, calculating the predictable filename, and directly accessing the file to execute arbitrary code granted they are exploiting a site running on an affected web server configuration.",brainstormforce,"SureMail – SMTP and Email Logs Plugin with Amazon SES, Postmark, and Other Providers",8.1,HIGH,hot
CVE-2025-13724,2025-12-02 08:24:54.360000+00:00,VikRentCar Car Rental Management System <= 1.4.4 - Authenticated (Author+) SQL Injection via 'month' Parameter,"The VikRentCar Car Rental Management System plugin for WordPress is vulnerable to time-based blind SQL Injection via the 'month' parameter in all versions up to, and including, 1.4.4 due to insufficient escaping on the user supplied parameter and lack of sufficient preparation on the existing SQL query. This makes it possible for authenticated attackers, with Administrator-level access and above, to append additional SQL queries into already existing queries that can be used to extract sensitive information from the database.",e4jvikwp,VikRentCar Car Rental Management System,7.5,HIGH,cold
CVE-2025-13534,2025-12-02 08:24:53.698000+00:00,ELEX WordPress HelpDesk & Customer Ticketing System <= 3.3.2 - Authenticated (Contributor+) Privilege Escalation via eh_crm_edit_agent AJAX Action,"The ELEX WordPress HelpDesk & Customer Ticketing System plugin for WordPress is vulnerable to Privilege Escalation in all versions up to, and including, 3.3.2. This is due to missing authorization checks on the eh_crm_edit_agent AJAX action. This makes it possible for authenticated attackers, with Contributor-level access and above, to escalate their WSDesk privileges from limited ""Reply Tickets"" permissions to full helpdesk administrator capabilities, gaining unauthorized access to ticket management, settings configuration, agent administration, and sensitive customer data.",elextensions,ELEX WordPress HelpDesk & Customer Ticketing System,6.3,MEDIUM,cold
CVE-2025-10543,2025-12-02 08:18:16.724000+00:00,,"In Eclipse Paho Go MQTT v3.1 library (paho.mqtt.golang) versions <=1.5.0 UTF-8 encoded strings, passed into the library, may be incorrectly encoded if their length exceeds 65535 bytes. This may lead to unexpected content in packets sent to the server (for example, part of an MQTT topic may leak into the message body in a PUBLISH packet).


The issue arises because the length of the data passed in was converted from an int64/int32 (depending upon CPU) to an int16 without checks for overflows. The int16 length was then written, followed by the data (e.g. topic). This meant that when the data (e.g. topic) was over 65535 bytes then the amount of data written exceeds what the length field indicates. This could lead to a corrupt packet, or mean that the excess data leaks into another field (e.g. topic leaks into message body).",Eclipse Foundation,paho.mqtt.golang (Go MQTT v3.1 library),,,cold
CVE-2025-10971,2025-12-02 07:55:06.867000+00:00,Insecure Storage of Sensitive Information,"Insecure Storage of Sensitive Information vulnerability in MeetMe on iOS, Android allows Retrieve Embedded Sensitive Data. This issue affects MeetMe: through v2.2.5.",FERMAX ELECTRÓNICA S.A.U,MeetMe,,,cold
CVE-2025-11726,2025-12-02 07:24:31.120000+00:00,Beaver Builder – WordPress Page Builder <= 2.9.4 - Missing Authorization to Authenticated (Contributor+) Global Preset Modification,"The Beaver Builder – WordPress Page Builder plugin for WordPress is vulnerable to Missing Authorization in all versions up to, and including, 2.9.4. This is due to insufficient capability checks in the REST API endpoints under the 'fl-controls/v1' namespace that control site-wide Global Presets. This makes it possible for authenticated attackers with contributor-level access and above to add, modify, or delete global color and background presets that affect all Beaver Builder content site-wide.",beaverbuilder,Beaver Builder Page Builder – Drag and Drop Website Builder,4.3,MEDIUM,cold
CVE-2025-13696,2025-12-02 07:24:30.524000+00:00,Zigaform <= 7.6.5 - Unauthenticated Form Submission Data Disclosure in rocket_front_payment_seesummary AJAX Endpoint,"The Zigaform plugin for WordPress is vulnerable to Sensitive Information Exposure in versions up to, and including, 7.6.5. This is due to the plugin exposing a public AJAX endpoint that retrieves form submission data without performing authorization checks to verify ownership or access rights. This makes it possible for unauthenticated attackers to extract sensitive form submission data including personal information, payment details, and other private data via the rocket_front_payment_seesummary action by enumerating sequential form_r_id values.",softdiscover,Zigaform – Price Calculator & Cost Estimation Form Builder Lite,5.3,MEDIUM,cold
CVE-2025-12483,2025-12-02 06:40:25.668000+00:00,Visualizer: Tables and Charts Manager for WordPress <= 3.11.12 - Authenticated (Contributor+) SQL Injection,"The Visualizer: Tables and Charts Manager for WordPress plugin for WordPress is vulnerable to SQL Injection via the 'query' parameter in all versions up to, and including, 3.11.12 due to insufficient escaping on the user supplied parameter and lack of sufficient preparation on the existing SQL query. This makes it possible for authenticated attackers, with Contributor-level access and above, to append additional SQL queries into already existing queries that can be used to extract sensitive information from the database. Version 3.11.13 raises the minimum user-level for exploitation to administrator. 3.11.14 fully patches the vulnerability.",themeisle,Visualizer: Tables and Charts Manager for WordPress,6.5,MEDIUM,cold
CVE-2025-13140,2025-12-02 06:40:25.286000+00:00,SurveyJS: Drag & Drop WordPress Form Builder <= 1.12.20 - Cross-Site Request Forgery to Survey Deletion,"The SurveyJS: Drag & Drop WordPress Form Builder plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to, and including, 1.12.20. This is due to missing nonce validation on the SurveyJS_DeleteSurvey AJAX action. This makes it possible for unauthenticated attackers to delete surveys via a forged request granted they can trick a site administrator into performing an action such as clicking on a link.",devsoftbaltic,"SurveyJS: Drag & Drop WordPress Form Builder to create, style and embed multiple forms of any complexity",4.3,MEDIUM,cold
CVE-2025-13685,2025-12-02 06:40:24.881000+00:00,Photo Gallery by Ays <= 6.4.8 - Cross-Site Request Forgery to Bulk Actions,"The Photo Gallery by Ays plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to, and including, 6.4.8. This is due to missing nonce verification on the bulk action functionality in the 'process_bulk_action()' function. This makes it possible for unauthenticated attackers to perform bulk operations (delete, publish, or unpublish galleries) via a forged request granted they can trick an administrator into performing an action such as clicking on a link.",ays-pro,Photo Gallery by Ays – Responsive Image Gallery,4.3,MEDIUM,cold
CVE-2025-13007,2025-12-02 06:40:24.247000+00:00,"WP Social Ninja – Embed Social Feeds, Customer Reviews, Chat Widgets (Google Reviews, YouTube Feed, Photo Feeds, and More) <= 3.20.3 - Unauthenticated Stored Cross-Site Scripting via External Content Import","The WP Social Ninja – Embed Social Feeds, Customer Reviews, Chat Widgets plugin for WordPress is vulnerable to Stored Cross-Site Scripting in all versions up to, and including, 3.20.3 due to insufficient input sanitization and output escaping on externally-sourced content. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page, granted they can post malicious content to a connected Google Business Profile or Facebook page.",adreastrian,"WP Social Ninja – Embed Social Feeds, Customer Reviews, Chat Widgets (Google Reviews, YouTube Feed, Photo Feeds, and More)",6.1,MEDIUM,cold
CVE-2025-13001,2025-12-02 06:00:07.918000+00:00,Donation <= 1.0 - Admin+ SQLi,"The donation WordPress plugin through 1.0 does not sanitize and escape a parameter before using it in a SQL statement, allowing high privilege users, such as admin to perform SQL injection attacks",Unknown,donation,,,warm
