CVE,KEV Date,Rating,Github Timestamp,Date Status,RunLabel,File,Line,Status
CVE-2024-12856,2025-01-22,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"18774	CVE-2024-12856	Four-Faith	F3x24	The Four-Faith router models F3x24 and F3x36 are affected by an operating system (OS) command injection vulnerability. At least firmware version 2.0 allows authenticated and remote attackers to execute arbitrary OS commands over HTTP when modifying the system time via apply.cgi. Additionally, this firmware version has default credentials which, if not changed, would effectively change this vulnerability into an unauthenticated and remote OS command execution issue.	neutral	hot",OK
CVE-2024-12912,2025-11-19,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"18878	CVE-2024-12912	ASUS	Router	An improper input insertion vulnerability in AiCloud on certain router models may lead to arbitrary command execution.
Refer to the '01/02/2025 ASUS Router AiCloud vulnerability' section on the ASUS Security Advisory for more information.	neutral	hot",OK
CVE-2024-13159,2025-03-10,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,CVE-2024-13159	hot	Ivanti	Endpoint Manager	Absolute path traversal in Ivanti EPM before the 2024 January-2025 Security Update and 2022 SU6 January-2025 Security Update allows a remote unauthenticated attacker to leak sensitive information.	,OK
CVE-2024-13160,2025-03-10,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,CVE-2024-13160	hot	Ivanti	Endpoint Manager	Absolute path traversal in Ivanti EPM before the 2024 January-2025 Security Update and 2022 SU6 January-2025 Security Update allows a remote unauthenticated attacker to leak sensitive information.	,OK
CVE-2024-13161,2025-03-10,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,CVE-2024-13161	hot	Ivanti	Endpoint Manager	Absolute path traversal in Ivanti EPM before the 2024 January-2025 Security Update and 2022 SU6 January-2025 Security Update allows a remote unauthenticated attacker to leak sensitive information.	,OK
CVE-2024-13365,2026-05-05,hot,2026-02-08,,May 24 2025 run (2024 CVEs),2024\2024-output-may-24.txt,"CVE-2024-13365	cleantalk	Security & Malware scan by CleanTalk	The Security & Malware scan by CleanTalk plugin for WordPress is vulnerable to arbitrary file uploads due to the plugin uploading and extracting .zip archives when scanning them for malware through the checkUploadedArchive() function  in all versions up to, and including, 2.149. This makes it possible for unauthenticated attackers to upload arbitrary files on the affected site's server which may make remote code execution possible.	hot",OK
CVE-2024-13744,2026-05-04,hot,2026-02-08,,May 24 2025 run (2024 CVEs),2024\2024-output-may-24.txt,CVE-2024-13744	pluggabl	Booster for WooCommerce	The Booster for WooCommerce plugin for WordPress is vulnerable to arbitrary file uploads due to missing file type validation in the validate_product_input_fields_on_add_to_cart function in versions 4.0.1 to 7.2.4. This makes it possible for unauthenticated attackers to upload arbitrary files on the affected site's server which may make remote code execution possible.	hot,OK
CVE-2024-1561,2025-08-19,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"24901	CVE-2024-1561	gradio-app	gradio-app/gradio	An issue was discovered in gradio-app/gradio, where the `/component_server` endpoint improperly allows the invocation of any method on a `Component` class with attacker-controlled arguments. Specifically, by exploiting the `move_resource_to_block_cache()` method of the `Block` class, an attacker can copy any file on the filesystem to a temporary directory and subsequently retrieve it. This vulnerability enables unauthorized local file read access, posing a significant risk especially when the application is exposed to the internet via `launch(share=True)`, thereby allowing remote attackers to read files on the host machine. Furthermore, gradio apps hosted on `huggingface.co` are also affected, potentially leading to the exposure of sensitive information such as API keys and credentials stored in environment variables.	neutral	hot",OK
CVE-2024-1708,2026-04-28,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"24550	CVE-2024-1708	ConnectWise	ScreenConnect	ConnectWise ScreenConnect 23.9.7 and prior are affected by path-traversal vulnerability, which may allow an attacker 

the ability to execute remote code or directly impact confidential data or critical systems.

	neutral	hot",OK
CVE-2024-20404,2026-02-04,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"10035	CVE-2024-20404	Cisco	Cisco Unified Contact Center Enterprise	A vulnerability in the web-based management interface of Cisco Finesse could allow an unauthenticated, remote attacker to conduct an SSRF attack on an affected system.
 This vulnerability is due to insufficient validation of user-supplied input for specific HTTP requests that are sent to an affected system. An attacker could exploit this vulnerability by sending a crafted HTTP request to the affected device. A successful exploit could allow the attacker to obtain limited sensitive information for services that are associated to the affected device.	neutral	hot",OK
CVE-2024-20419,2025-10-17,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"10107	CVE-2024-20419	Cisco	Cisco Smart Software Manager On-Prem	A vulnerability in the authentication system of Cisco Smart Software Manager On-Prem (SSM On-Prem) could allow an unauthenticated, remote attacker to change the password of any user, including administrative users.
 This vulnerability is due to improper implementation of the password-change process. An attacker could exploit this vulnerability by sending crafted HTTP requests to an affected device. A successful exploit could allow an attacker to access the web UI or API with the privileges of the compromised user.	neutral	hot",OK
CVE-2024-20439,2025-03-31,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"10133	CVE-2024-20439	Cisco	Cisco Smart License Utility	A vulnerability in Cisco Smart Licensing Utility could allow an unauthenticated, remote attacker to log in to an affected system by using a static administrative credential.

This vulnerability is due to an undocumented static user credential for an administrative account. An attacker could exploit this vulnerability by using the static credentials to log in to the affected system. A successful exploit could allow the attacker to log in to the affected system with administrative privileges over the API of the Cisco Smart Licensing Utility application.	neutral	hot",OK
CVE-2024-20440,2025-06-07,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"9594	CVE-2024-20440	Cisco	Cisco Smart License Utility	A vulnerability in Cisco Smart Licensing Utility could allow an unauthenticated, remote attacker to access sensitive information.

This vulnerability is due to excessive verbosity in a debug log file. An attacker could exploit this vulnerability by sending a crafted HTTP request to an affected device. A successful exploit could allow the attacker to obtain log files that contain sensitive data, including credentials that can be used to access the API.	neutral	hot",OK
CVE-2024-2053,2026-02-02,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"859	CVE-2024-2053	Artica Tech	Artica Proxy	The Artica Proxy administrative web application will deserialize arbitrary PHP objects supplied by unauthenticated users and subsequently enable code execution as the ""www-data"" user. This issue was demonstrated on version 4.50 of theÂ The Artica-Proxy administrative web application attempts to prevent local file inclusion. These protections can be bypassed and arbitrary file requests supplied by unauthenticated users will be returned according to the privileges of the ""www-data"" user.
	neutral	hot",OK
CVE-2024-21407,2025-06-10,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,8085	CVE-2024-21407	Microsoft	Windows 10 Version 1809	Windows Hyper-V Remote Code Execution Vulnerability	neutral	hot,OK
CVE-2024-21413,2025-02-06,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,8317	CVE-2024-21413	Microsoft	Microsoft Office 2019	Microsoft Outlook Remote Code Execution Vulnerability	neutral	hot,OK
CVE-2024-21447,2025-02-26,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,7960	CVE-2024-21447	Microsoft	Windows Server 2022	Windows Authentication Elevation of Privilege Vulnerability	neutral	hot,OK
CVE-2024-21833,2026-04-10,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"8237	CVE-2024-21833	TP-Link	Archer AX3000	Multiple TP-LINK products allow a network-adjacent unauthenticated attacker with access to the product to execute arbitrary OS commands. The affected device, with the initial configuration, allows login only from the LAN port or Wi-Fi.	neutral	hot",OK
CVE-2024-22024,2025-08-19,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"21191	CVE-2024-22024	Ivanti	ICS	An XML external entity or XXE vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x), Ivanti Policy Secure (9.x, 22.x) and ZTA gateways which allows an attacker to access certain restricted resources without authentication.	neutral	hot",OK
CVE-2024-22120,2025-03-19,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"21186	CVE-2024-22120	Zabbix	Zabbix	Zabbix server can perform command execution for configured scripts. After command is executed, audit entry is added to ""Audit Log"". Due to ""clientip"" field is not sanitized, it is possible to injection SQL into ""clientip"" and exploit time based blind SQL injection.	neutral	hot",OK
CVE-2024-22927,2026-04-21,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,CVE-2024-22927	hot			Cross Site Scripting (XSS) vulnerability in the func parameter in eyoucms v.1.6.5 allows a remote attacker to run arbitrary code via crafted URL.	,OK
CVE-2024-24328,2025-02-12,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,CVE-2024-24328	hot			TOTOLINK A3300R V17.0.0cu.557_B20221024 was discovered to contain a command injection vulnerability via the enable parameter in the setMacFilterRules function.	,OK
CVE-2024-24329,2025-02-12,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,CVE-2024-24329	hot			TOTOLINK A3300R V17.0.0cu.557_B20221024 was discovered to contain a command injection vulnerability via the enable parameter in the setPortForwardRules function.	,OK
CVE-2024-25852,2025-08-19,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-25852			Linksys RE7000 v2.0.9, v2.0.11, and v2.0.15 have a command execution vulnerability in the ""AccessControlList"" parameter of the access control function point. An attacker can use the vulnerability to obtain device administrator rights.	hot",OK
CVE-2024-28255,2025-08-19,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-28255	open-metadata	OpenMetadata	OpenMetadata is a unified platform for discovery, observability, and governance powered by a central metadata repository, in-depth lineage, and seamless team collaboration. The `JwtFilter` handles the API authentication by requiring and verifying JWT tokens. When a new request comes in, the request's path is checked against this list. When the request's path contains any of the excluded endpoints the filter returns without validating the JWT. Unfortunately, an attacker may use Path Parameters to make any path contain any arbitrary strings. For example, a request to `GET /api/v1;v1%2fusers%2flogin/events/subscriptions/validation/condition/111` will match the excluded endpoint condition and therefore will be processed with no JWT validation allowing an attacker to bypass the authentication mechanism and reach any arbitrary endpoint, including the ones listed above that lead to arbitrary SpEL expression injection. This bypass will not work when the endpoint uses the `SecurityContext.getUserPrincipal()` since it will return `null` and will throw an NPE. This issue may lead to authentication bypass and has been addressed in version 1.2.4. Users are advised to upgrade. There are no known workarounds for this vulnerability. This issue is also tracked as `GHSL-2023-237`.	hot",OK
CVE-2024-2862,2026-02-01,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"808	CVE-2024-2862	LG Electronics	LG LED Assistant	
This vulnerability allows remote attackers to reset the password of anonymous users without authorization on the affected LG LED Assistant.

	neutral	hot",OK
CVE-2024-2863,2026-01-14,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,755	CVE-2024-2863	LG Electronics	LG LED Assistant	This vulnerability allows remote attackers to traverse paths via file upload on the affected LG LED Assistant.	neutral	hot,OK
CVE-2024-28916,2025-02-26,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,27483	CVE-2024-28916	Microsoft	Xbox Gaming Services	Xbox Gaming Services Elevation of Privilege Vulnerability	neutral	hot,OK
CVE-2024-29028,2025-09-26,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-29028	usememos	memos	memos is a privacy-first, lightweight note-taking service. In memos 0.13.2, an SSRF vulnerability exists at the /o/get/httpmeta that allows unauthenticated users to enumerate the internal network and receive limited html values in json form. This vulnerability is fixed in 0.16.1.	hot",OK
CVE-2024-29029,2025-09-25,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-29029	usememos	memos	memos is a privacy-first, lightweight note-taking service. In memos 0.13.2, an SSRF vulnerability exists at the /o/get/image that allows unauthenticated users to enumerate the internal network and retrieve images. The response from the image request is then copied into the response of the current server request, causing a reflected XSS vulnerability. Version 0.22.0 of memos removes the vulnerable file.	hot",OK
CVE-2024-29030,2025-09-26,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-29030	usememos	memos	memos is a privacy-first, lightweight note-taking service. In memos 0.13.2, an SSRF vulnerability exists at the /api/resource that allows authenticated users to enumerate the internal network. Version 0.22.0 of memos removes the vulnerable file.	hot",OK
CVE-2024-29059,2025-02-05,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,CVE-2024-29059	hot	Microsoft	Microsoft .NET Framework 4.8	.NET Framework Information Disclosure Vulnerability	,OK
CVE-2024-29972,2025-06-07,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"22736	CVE-2024-29972	Zyxel	NAS326 firmware	** UNSUPPPORTED WHEN ASSIGNED ** ** UNSUPPORTED WHEN ASSIGNED **
The command injection vulnerability in the CGI program ""remote_help-cgi"" in Zyxel NAS326 firmware versions before V5.21(AAZF.17)C0 and NAS542 firmware versions beforeÂ V5.21(ABAG.14)C0Â could allow an unauthenticated attacker to execute some operating system (OS) commands by sending a crafted HTTP POST request.	neutral	hot",OK
CVE-2024-29973,2025-08-18,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"22763	CVE-2024-29973	Zyxel	NAS326 firmware	** UNSUPPPORTED WHEN ASSIGNED ** ** UNSUPPORTED WHEN ASSIGNED **
The command injection vulnerability in the â€œsetCookieâ€ parameter in Zyxel NAS326 firmware versions before V5.21(AAZF.17)C0 and NAS542 firmware versions beforeÂ V5.21(ABAG.14)C0 could allow an unauthenticated attacker to execute some operating system (OS) commands by sending a crafted HTTP POST request.	neutral	hot",OK
CVE-2024-30090,2025-08-01,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,CVE-2024-30090	hot	Microsoft	Windows 10 Version 1809	Microsoft Streaming Service Elevation of Privilege Vulnerability	,OK
CVE-2024-30850,2025-06-04,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,CVE-2024-30850			An issue in tiagorlampert CHAOS v5.0.1 allows a remote attacker to execute arbitrary code via the BuildClient function within client_service.go	hot,OK
CVE-2024-31750,2025-08-18,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,CVE-2024-31750			SQL injection vulnerability in f-logic datacube3 v.1.0 allows a remote attacker to obtain sensitive information via the req_id parameter.	hot,OK
CVE-2024-32238,2025-02-27,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,CVE-2024-32238	hot			H3C ER8300G2-X is vulnerable to Incorrect Access Control. The password for the router's management system can be accessed via the management system page login interface.	,OK
CVE-2024-32735,2025-01-22,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"19682	CVE-2024-32735	CyberPower	CyberPower PowerPanel Enterprise	An issue regarding missing authentication for certain utilities exists in CyberPower PowerPanel Enterprise prior to v2.8.3.Â An unauthenticated remote attacker can access the PDNU REST APIs, which may result in compromise of the application.	neutral	hot",OK
CVE-2024-32736,2025-01-22,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"20249	CVE-2024-32736	CyberPower	CyberPower PowerPanel Enterprise	A sql injection vulnerability exists in CyberPower PowerPanel Enterprise prior to v2.8.3.Â An unauthenticated remote attacker can leak sensitive information via the ""query_utask_verbose"" function within MCUDBHelper.
	neutral	hot",OK
CVE-2024-32737,2025-01-22,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"20104	CVE-2024-32737	CyberPower	CyberPower PowerPanel Enterprise	A sql injection vulnerability exists in CyberPower PowerPanel Enterprise prior to v2.8.3.Â An unauthenticated remote attacker can leak sensitive information via the ""query_contract_result"" function within MCUDBHelper.
	neutral	hot",OK
CVE-2024-32738,2025-01-22,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"19737	CVE-2024-32738	CyberPower	CyberPower PowerPanel Enterprise	A sql injection vulnerability exists in CyberPower PowerPanel Enterprise prior to v2.8.3.Â An unauthenticated remote attacker can leak sensitive information via the ""query_ptask_lean"" function within MCUDBHelper.
	neutral	hot",OK
CVE-2024-32739,2025-01-22,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"19718	CVE-2024-32739	CyberPower	CyberPower PowerPanel Enterprise	A sql injection vulnerability exists in CyberPower PowerPanel Enterprise prior to v2.8.3.Â An unauthenticated remote attacker can leak sensitive information via the ""query_ptask_verbose"" function within MCUDBHelper.
	neutral	hot",OK
CVE-2024-33326,2025-09-25,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,CVE-2024-33326	hot			A cross-site scripting (XSS) vulnerability in the component XsltResultControllerHtml.jsp of Lumisxp v15.0.x to v16.1.x allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the lumPageID parameter.	,OK
CVE-2024-3408,2025-12-19,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"3235	CVE-2024-3408	man-group	man-group/dtale	man-group/dtale version 3.10.0 is vulnerable to an authentication bypass and remote code execution (RCE) due to improper input validation. The vulnerability arises from a hardcoded `SECRET_KEY` in the flask configuration, allowing attackers to forge a session cookie if authentication is enabled. Additionally, the application fails to properly restrict custom filter queries, enabling attackers to execute arbitrary code on the server by bypassing the restriction on the `/update-settings` endpoint, even when `enable_custom_filters` is not enabled. This vulnerability allows attackers to bypass authentication mechanisms and execute remote code on the server.	neutral	hot",OK
CVE-2024-34193,2025-07-21,hot,2025-01-17,,Jan 17 2025 run (2024 CVEs),2024\2024-predictions-jan-17-run.txt,"CVE-2024-34193	hot			smanga 3.2.7 does not filter the file parameter at the PHP/get file flow.php interface, resulting in a path traversal vulnerability that can cause arbitrary file reading.	",OK
CVE-2024-34257,2025-08-18,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-34257			TOTOLINK EX1800T V9.1.0cu.2112_B20220316 has a vulnerability in the apcliEncrypType parameter that allows unauthorized execution of arbitrary commands, allowing an attacker to obtain device administrator privileges.	hot",OK
CVE-2024-37079,2026-01-23,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,15403	CVE-2024-37079		VMware vCenter Server	vCenter Server contains a heap-overflow vulnerability in the implementation of the DCERPC protocol. A malicious actor with network access to vCenter Server may trigger this vulnerability by sending a specially crafted network packet potentially leading to remote code execution.	neutral	hot,OK
CVE-2024-37393,2025-11-12,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-37393			Multiple LDAP injections vulnerabilities exist in SecurEnvoy MFA before 9.4.514 due to improper validation of user-supplied input. An unauthenticated remote attacker could exfiltrate data from Active Directory through blind LDAP injection attacks against the DESKTOP service exposed on the /secserver HTTP endpoint. This may include ms-Mcs-AdmPwd, which has a cleartext password for the Local Administrator Password Solution (LAPS) feature.	hot",OK
CVE-2024-38023,2025-04-09,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,26073	CVE-2024-38023	Microsoft	Microsoft SharePoint Enterprise Server 2016	Microsoft SharePoint Server Remote Code Execution Vulnerability	neutral	hot,OK
CVE-2024-38024,2025-04-09,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,26330	CVE-2024-38024	Microsoft	Microsoft SharePoint Enterprise Server 2016	Microsoft SharePoint Server Remote Code Execution Vulnerability	neutral	hot,OK
CVE-2024-3806,2025-03-19,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-3806	P-THEMES	Porto	The Porto theme for WordPress is vulnerable to Local File Inclusion in all versions up to, and including, 7.1.0 via the 'porto_ajax_posts' function. This makes it possible for unauthenticated attackers to include and execute arbitrary files on the server, allowing the execution of any PHP code in those files. This can be used to bypass access controls, obtain sensitive data, or achieve code execution in cases where php file type can be uploaded and included.	hot",OK
CVE-2024-38100,2025-02-26,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,26390	CVE-2024-38100	Microsoft	Windows Server 2019	Windows File Explorer Elevation of Privilege Vulnerability	neutral	hot,OK
CVE-2024-38196,2025-08-04,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,25870	CVE-2024-38196	Microsoft	Windows 11 Version 24H2	Windows Common Log File System Driver Elevation of Privilege Vulnerability	neutral	hot,OK
CVE-2024-38289,2025-08-18,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-38289			A boolean-based SQL injection issue in the Virtual Meeting Password (VMP) endpoint in R-HUB TurboMeeting through 8.x allows unauthenticated remote attackers to extract hashed passwords from the database, and authenticate to the application, via crafted SQL input.	hot",OK
CVE-2024-38475,2025-05-01,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"26289	CVE-2024-38475	Apache Software Foundation	Apache HTTP Server	Improper escaping of output in mod_rewrite in Apache HTTP Server 2.4.59 and earlier allows an attacker to map URLs to filesystem locations that areÂ permitted to be served by the server but are not intentionally/directly reachable by any URL, resulting in code execution or source code disclosure. 

Substitutions inÂ server context that use a backreferences or variables as the first segment of the substitution are affected.Â  Some unsafe RewiteRules will be broken by this change and the rewrite flag ""UnsafePrefixStat"" can be used to opt back in once ensuring the substitution is appropriately constrained.	neutral	hot",OK
CVE-2024-38514,2025-02-25,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-38514	ChatGPTNextWeb	ChatGPT-Next-Web	NextChat is a cross-platform ChatGPT/Gemini UI. There is a Server-Side Request Forgery (SSRF) vulnerability due to a lack of validation of the `endpoint` GET parameter on the WebDav API endpoint. This SSRF can be used to perform arbitrary HTTPS request from the vulnerable instance (MKCOL, PUT and GET methods supported), or to target NextChat users and make them execute arbitrary JavaScript code in their browser. This vulnerability has been patched in version 2.12.4.
	hot",OK
CVE-2024-38653,2025-08-18,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,26144	CVE-2024-38653	Ivanti	Avalanche	XXE in SmartDeviceServer in Ivanti Avalanche 6.3.1 allows a remote unauthenticated attacker to read arbitrary files on the server.	neutral	hot,OK
CVE-2024-41700,2026-06-25,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,CVE-2024-41700	Barix	Barix SIP Client Web Management Interface UI	Barix â€“ CWE-200 Exposure of Sensitive Information to an Unauthorized Actor	hot,OK
CVE-2024-41710,2025-02-12,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-41710			A vulnerability in the Mitel 6800 Series, 6900 Series, and 6900w Series SIP Phones, including the 6970 Conference Unit, through R6.4.0.HF1 (R6.4.0.136) could allow an authenticated attacker with administrative privilege to conduct an argument injection attack, due to insufficient parameter sanitization during the boot process. A successful exploit could allow an attacker to execute arbitrary commands within the context of the system.	hot",OK
