,cve,assigner,published,title,description,vendor,product,affected versions,rating
14,CVE-2025-0057,sap,2025-01-14T00:08:50.916Z,Cross-Site Scripting vulnerability in SAP NetWeaver AS JAVA (User Admin Application),"SAP NetWeaver AS JAVA (User Admin Application) is vulnerable to stored cross site scripting vulnerability. An attacker posing as an admin can upload a photo with malicious JS content. When a victim visits the vulnerable component, the attacker can read and modify information within the scope of victim's web browser.",SAP_SE,SAP NetWeaver AS JAVA (User Admin Application),ENGINEAPI 7.50; SERVERCORE 7.50; UMEADMIN 7.50,warm
15,CVE-2025-0058,sap,2025-01-14T00:08:59.323Z,Information Disclosure vulnerability in SAP Business Workflow and SAP Flexible Workflow,"In SAP Business Workflow and SAP Flexible Workflow, an authenticated attacker can manipulate a parameter in an otherwise legitimate resource request to view sensitive information that should otherwise be restricted. The attacker does not have the ability to modify the information or to make the information unavailable.",SAP_SE,SAP Business Workflow and SAP Flexible Workflow,SAP_BASIS 753; SAP_BASIS 754; SAP_BASIS 755; SAP_BASIS 756; SAP_BASIS 757; SAP_BASIS 758; SAP_BASIS 912; SAP_BASIS 913; SAP_BASIS 914,warm
17,CVE-2025-0060,sap,2025-01-14T00:09:14.051Z,Multiple vulnerabilities in SAP BusinessObjects Business Intelligence Platform,SAP BusinessObjects Business Intelligence Platform allows an authenticated user with restricted access to inject malicious JS code which can read sensitive information from the server and send it to the attacker. The attacker could further use this information to impersonate as a high privileged user causing high impact on confidentiality and integrity of the application.,SAP_SE,SAP BusinessObjects Business Intelligence Platform,2025; 430; ENTERPRISE 420,warm
18,CVE-2025-0061,sap,2025-01-14T00:09:21.343Z,Multiple vulnerabilities in SAP BusinessObjects Business Intelligence Platform,"SAP BusinessObjects Business Intelligence Platform allows an unauthenticated attacker to perform session hijacking over the network without any user interaction, due to an information disclosure vulnerability. Attacker can access and modify all the data of the application.",SAP_SE,SAP BusinessObjects Business Intelligence Platform,2025; 430; ENTERPRISE 420,hot
19,CVE-2025-0062,sap,2025-03-11T00:31:18.755Z,Cross-Site Scripting (XSS) vulnerability in SAP BusinessObjects Business Intelligence Platform (Web Intelligence),"SAP BusinessObjects Business Intelligence Platform allows an attacker to inject JavaScript code in Web Intelligence reports. This code is then executed in the victim's browser each time the vulnerable page is visited by the victim. On successful exploitation, an attacker could cause limited impact on confidentiality and integrity within the scope of victim?s browser. There is no impact on availability. This vulnerability occurs only when script/html execution is enabled by the administrator in Central Management Console.",SAP_SE,SAP BusinessObjects Business Intelligence Platform,2025; ENTERPRISE 430; ENTERPRISECLIENTTOOLS 430,warm
20,CVE-2025-0063,sap,2025-01-14T00:09:28.885Z,SQL Injection vulnerability in SAP NetWeaver AS for ABAP and ABAP Platform,"SAP NetWeaver AS ABAP and ABAP Platform does not check for authorization when a user executes some RFC function modules. This could lead to an attacker with basic user privileges to gain control over the data in Informix database, leading to complete compromise of confidentiality, integrity and availability.",SAP_SE,SAP NetWeaver AS ABAP and ABAP Platform,SAP_BASIS 700; SAP_BASIS 701; SAP_BASIS 702; SAP_BASIS 731; SAP_BASIS 740; SAP_BASIS 750; SAP_BASIS 751; SAP_BASIS 752; SAP_BASIS 753; SAP_BASIS 754; SAP_BASIS 755; SAP_BASIS 756; SAP_BASIS 757; SAP_BASIS 758,hot
21,CVE-2025-0064,sap,2025-02-11T00:33:03.769Z,Improper Authorization in SAP BusinessObjects Business Intelligence platform (Central Management Console),"Under specific conditions, the Central Management Console of the SAP BusinessObjects Business Intelligence platform allows an attacker with admin rights to generate or retrieve a secret passphrase, enabling them to impersonate any user in the system. This results in a high impact on confidentiality and integrity, with no impact on availability.",SAP_SE,SAP BusinessObjects Business Intelligence platform (Central Management Console),2025; ENTERPRISE 430,hot
22,CVE-2025-0065,TV,2025-01-28T10:22:12.492Z,Improper Neutralization of Argument Delimiters in TeamViewer Clients,Improper Neutralization of Argument Delimiters in the TeamViewer_service.exe component of TeamViewer Clients prior version 15.62 for Windows allows an attacker with local unprivileged access on a Windows system to elevate privileges via argument injection.,TEAMVIEWER,Remote Full Client; Remote Host,11.0.0; 12.0.0; 13.0.0; 14.0.0; 15.0.0,hot
23,CVE-2025-0066,sap,2025-01-14T00:09:36.035Z,Information Disclosure vulnerability in SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework),"Under certain conditions SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework) allows an attacker to access restricted information due to weak access controls. This can have a significant impact on the confidentiality, integrity, and availability of an application",SAP_SE,SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework),SAP_BASIS 700; SAP_BASIS 701; SAP_BASIS 702; SAP_BASIS 731; SAP_BASIS 740; SAP_BASIS 750; SAP_BASIS 751; SAP_BASIS 752; SAP_BASIS 753; SAP_BASIS 754; SAP_BASIS 755; SAP_BASIS 756; SAP_BASIS 757; SAP_BASIS 758; SAP_BASIS 912; SAP_BASIS 913; SAP_BASIS 914,hot
24,CVE-2025-0067,sap,2025-01-14T00:09:41.421Z,Missing Authorization check in SAP NetWeaver Application Server Java,"Due to a missing authorization check on service endpoints in the SAP NetWeaver Application Server Java, an attacker with standard user role can create JCo connection entries, which are used for remote function calls from or to the application server. This could lead to low impact on confidentiality, integrity, and availability of the application.",SAP_SE,SAP NetWeaver Application Server Java,WD-RUNTIME 7.50,warm
26,CVE-2025-0069,sap,2025-01-14T00:09:58.276Z,DLL Hijacking vulnerability in SAPSetup,"Due to DLL injection vulnerability in SAPSetup, an attacker with either local user privileges or with access to a compromised corporate user?s Windows account could gain higher privileges. With this, he could move laterally within the network and further compromise the active directory of a company. This leads to high impact on confidentiality, integrity and availability of the Windows server.",SAP_SE,SAPSetup,LMSAPSETUP 9.0,hot
27,CVE-2025-0070,sap,2025-01-14T00:10:03.199Z,Improper Authentication in SAP NetWeaver ABAP Server and ABAP Platform,"SAP NetWeaver Application Server for ABAP and ABAP Platform allows an authenticated attacker to obtain illegitimate access to the system by exploiting improper authentication checks, resulting in privilege escalation. On successful exploitation, this can result in potential security concerns. This results in a high impact on confidentiality, integrity, and availability.",SAP_SE,SAP NetWeaver Application Server for ABAP and ABAP Platform,7.22EXT; 7.53; 7.54; 7.77; 7.89; 7.93; 7.97; 8.04; 9.12; 9.13; 9.14; KERNEL 7.22; KRNL64NUC 7.22; KRNL64UC 7.22,hot
28,CVE-2025-0071,sap,2025-03-11T00:31:34.767Z,Information Disclosure vulnerability in SAP Web Dispatcher and Internet Communication Manager,"SAP Web Dispatcher and Internet Communication Manager allow an attacker with administrative privileges to enable debugging trace mode with a specific parameter value. This exposes unencrypted passwords in the logs, causing a high impact on the confidentiality of the application. There is no impact on integrity or availability.",SAP_SE,SAP Web Dispatcher and Internet Communication Manager,7.54; 7.77; 7.89; 7.93; 9.14; KERNEL 7.53; KRNL64UC 7.53; WEBDISP 7.53,warm
29,CVE-2025-0072,Arm,2025-05-02T09:54:20.441Z,Mali GPU Kernel Driver allows improper GPU memory processing operations,"Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user process to perform improper GPU memory processing operations to gain access to already freed memory.

This issue affects Valhall GPU Kernel Driver: from r29p0 through r49p3, from r50p0 through r53p0; Arm 5th Gen GPU Architecture Kernel Driver: from r41p0 through r49p3, from r50p0 through r53p0.",ARM,Arm 5th Gen GPU Architecture Kernel Driver; Valhall GPU Kernel Driver,r29p0; r41p0; r50p0,warm
30,CVE-2025-0073,Arm,2025-06-02T11:04:17.019Z,Mali GPU Kernel Driver allows improper GPU memory processing operations,"Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user process to perform improper GPU memory processing operations to gain access to already freed memory.This issue affects Valhall GPU Kernel Driver: from r53p0 before r54p0; Arm 5th Gen GPU Architecture Kernel Driver: from r53p0 before r54p0.",ARM,Arm 5th Gen GPU Architecture Kernel Driver; Valhall GPU Kernel Driver,r53p0,warm
31,CVE-2025-0074,google_android,2025-08-26T22:48:35.616Z,,"In process_service_attr_rsp of sdp_discovery.cc, there is a possible way to execute arbitrary code due to a use after free. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,15,hot
32,CVE-2025-0075,google_android,2025-08-26T22:48:36.630Z,,"In process_service_search_attr_req of sdp_server.cc, there is a possible way to execute arbitrary code due to a use after free. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,15,hot
33,CVE-2025-0078,google_android,2025-08-26T22:48:37.637Z,,"In main of main.cpp, there is a possible way to bypass SELinux due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,12; 12L; 13; 14; 15,hot
34,CVE-2025-0079,google_android,2025-08-26T22:48:38.633Z,,"In multiple locations, there is a possible way that avdtp and avctp channels could be unencrypted due to a logic error in the code. This could lead to local escalation of privilege with User execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,12; 12L; 13; 14; 15,hot
35,CVE-2025-0080,google_android,2025-08-26T22:48:39.638Z,,"In multiple locations, there is a possible way to overlay the installation confirmation dialog due to a tapjacking/overlay attack. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,15,hot
36,CVE-2025-0081,google_android,2025-08-26T22:48:40.650Z,,"In dng_lossless_decoder::HuffDecode of dng_lossless_jpeg.cpp, there is a possible way to cause a crash due to uninitialized data. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,12; 12L; 13; 14; 15,hot
37,CVE-2025-0082,google_android,2025-08-26T22:48:41.698Z,,"In multiple functions of StatusHint.java and TelecomServiceImpl.java, there is a possible way to reveal images across users due to a confused deputy. This could lead to local information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.",GOOGLE,Android,12; 12L; 13; 14; 15,hot
38,CVE-2025-0083,google_android,2025-08-26T22:48:42.711Z,,"In multiple locations, there is a possible way to access content across user profiles due to URI double encoding. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,12; 12L; 13; 14; 15,hot
39,CVE-2025-0084,google_android,2025-08-26T22:48:43.740Z,,"In multiple locations, there is a possible out of bounds write due to a use after free. This could lead to remote code execution over Bluetooth, if HFP support is enabled, with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,13; 14; 15,hot
40,CVE-2025-0086,google_android,2025-08-26T22:48:44.753Z,,"In onResult of AccountManagerService.java, there is a possible way to overwrite auth token due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,12; 12L; 13; 14; 15,hot
41,CVE-2025-0092,google_android,2025-08-26T22:48:45.758Z,,"In handleBondStateChanged of AdapterService.java, there is a possible permission bypass due to misleading or insufficient UI. This could lead to remote (proximal/adjacent) information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.",GOOGLE,Android,12; 12L; 13; 14; 15,hot
42,CVE-2025-0093,google_android,2025-08-26T22:48:46.854Z,,"In handleBondStateChanged of AdapterService.java, there is a possible unapproved data access due to a missing permission check. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.",GOOGLE,Android,12; 12L; 13; 14; 15,hot
43,CVE-2025-0101,CERTVDE,2025-04-16T07:29:06.441Z,WAGO: Year 2038 problem,A low privileged user can set the date of the devices to the 19th of January 2038 an therefore exceed the 32-Bit time limit. This causes some functions to work unexpected or stop working at all. Both during runtime and after a restart.,WAGO,CC100 0751-9x01; PFC100 G1 0750-810x/xxxx-xxxx; PFC100 G2 0750-811x-xxxx-xxxx; PFC200 G1 750-820x-xxx-xxx; PFC200 G2 750-821x-xxx-xxx; TP600 0762-420x/8000-000x; TP600 0762-430x/8000-000x; TP600 0762-520x/8000-000x; TP600 0762-530x/8000-000x; TP600 0762-620x/8000-000x; TP600 0762-630x/8000-000x; WAGO CC100 0751-9x01; WAGO Edge Controller 0752-8303/8000-0002,0,warm
44,CVE-2025-0103,palo_alto,2025-01-11T02:59:51.177Z,Expedition: SQL Injection Vulnerability,"An SQL injection vulnerability in Palo Alto Networks Expedition enables an authenticated attacker to reveal Expedition database contents, such as password hashes, usernames, device configurations, and device API keys. This vulnerability also enables attackers to create and read arbitrary files on the Expedition system.",PALO ALTO NETWORKS,Cloud NGFW; Expedition; PAN-OS; Panorama; Prisma Access,1; All,hot
45,CVE-2025-0104,palo_alto,2025-01-11T03:00:40.318Z,Expedition: Cross-Site Scripting (XSS) Vulnerability,A reflected cross-site scripting (XSS) vulnerability in Palo Alto Networks Expedition enables attackers to execute malicious JavaScript code in the context of an authenticated Expedition user’s browser if that authenticated user clicks a malicious link that allows phishing attacks and could lead to Expedition browser-session theft.,PALO ALTO NETWORKS,Cloud NGFW; Expedition; PAN-OS; Panorama; Prisma Access,1; All,hot
46,CVE-2025-0105,palo_alto,2025-01-11T03:01:24.168Z,Expedition: Arbitrary File Deletion Vulnerability,An arbitrary file deletion vulnerability in Palo Alto Networks Expedition enables an unauthenticated attacker to delete arbitrary files accessible to the www-data user on the host filesystem.,PALO ALTO NETWORKS,Cloud NGFW; Expedition; PAN-OS; Panorama; Prisma Access,1; All,hot
47,CVE-2025-0106,palo_alto,2025-01-11T03:02:24.574Z,Expedition: Wildcard Expansion Vulnerability,A wildcard expansion vulnerability in Palo Alto Networks Expedition allows an unauthenticated attacker to enumerate files on the host filesystem.,PALO ALTO NETWORKS,Cloud NGFW; Expedition; PAN-OS; Panorama; Prisma Access,1; All,hot
48,CVE-2025-0107,palo_alto,2025-01-11T03:02:49.517Z,Expedition: OS Command Injection Vulnerability,"An OS command injection vulnerability in Palo Alto Networks Expedition enables an unauthenticated attacker to run arbitrary OS commands as the www-data user in Expedition, which results in the disclosure of usernames, cleartext passwords, device configurations, and device API keys for firewalls running PAN-OS software.",PALO ALTO NETWORKS,Cloud NGFW; Expedition; PAN-OS; Panorama; Prisma Access,1; All,hot
49,CVE-2025-0108,palo_alto,2025-02-12T20:55:34.610Z,PAN-OS: Authentication Bypass in the Management Web Interface,"An authentication bypass in the Palo Alto Networks PAN-OS software enables an unauthenticated attacker with network access to the management web interface to bypass the authentication otherwise required by the PAN-OS management web interface and invoke certain PHP scripts. While invoking these PHP scripts does not enable remote code execution, it can negatively impact integrity and confidentiality of PAN-OS.

You can greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practices deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue does not affect Cloud NGFW or Prisma Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.1.0; 11.2.0; All,hot
50,CVE-2025-0109,palo_alto,2025-02-12T20:56:00.946Z,PAN-OS: Unauthenticated File Deletion Vulnerability on the Management Web Interface,"An unauthenticated file deletion vulnerability in the Palo Alto Networks PAN-OS management web interface enables an unauthenticated attacker with network access to the management web interface to delete certain files as the “nobody” user; this includes limited logs and configuration files but does not include system files.


You can greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practices deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue does not affect Cloud NGFW or Prisma Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.1.0; 11.2.0; All,hot
51,CVE-2025-0110,palo_alto,2025-02-12T21:04:42.675Z,PAN-OS OpenConfig Plugin: Command Injection Vulnerability in OpenConfig Plugin,"A command injection vulnerability in the Palo Alto Networks PAN-OS OpenConfig plugin enables an authenticated administrator with the ability to make gNMI requests to the PAN-OS management web interface to bypass system restrictions and run arbitrary commands. The commands are run as the “__openconfig” user (which has the Device Administrator role) on the firewall.

You can greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practices deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .",PALO ALTO NETWORKS,PAN-OS OpenConfig Plugin,1.0.0,hot
52,CVE-2025-0111,palo_alto,2025-02-12T20:58:43.387Z,PAN-OS: Authenticated File Read Vulnerability in the Management Web Interface,"An authenticated file read vulnerability in the Palo Alto Networks PAN-OS software enables an authenticated attacker with network access to the management web interface to read files on the PAN-OS filesystem that are readable by the “nobody” user.

You can greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practices deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .



This issue does not affect Cloud NGFW or Prisma Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.1.0; 11.2.0; All,hot
53,CVE-2025-0112,palo_alto,2025-02-19T23:44:33.652Z,Cortex XDR Agent: Local Windows User Can Disable the Agent,A problem with a detection mechanism in the Palo Alto Networks Cortex XDR agent on Windows devices enables a user with Windows non-administrative privileges to disable the agent. This vulnerability can also be leveraged by malware to disable the Cortex XDR agent and then perform malicious activity.,PALO ALTO NETWORKS,Cortex XDR Agent,8.3-CE; 8.4.0; 8.5.0; 8.6.0,hot
54,CVE-2025-0113,palo_alto,2025-02-12T21:05:08.795Z,Cortex XDR Broker VM: Unauthorized Access to Broker VM Docker Containers,A problem with the network isolation mechanism of the Palo Alto Networks Cortex XDR Broker VM allows attackers unauthorized access to Docker containers from the host network used by Broker VM. This may allow access to read files sent for analysis and logs transmitted by the Cortex XDR Agent to the Cortex XDR server.,PALO ALTO NETWORKS,Cortex XDR Broker VM,1.0.0,hot
55,CVE-2025-0114,palo_alto,2025-03-12T18:20:05.608Z,PAN-OS: Denial of Service (DoS) in GlobalProtect,"A Denial of Service (DoS) vulnerability in the GlobalProtect feature of Palo Alto Networks PAN-OS software enables an unauthenticated attacker to render the service unavailable by sending a large number of specially crafted packets over a period of time. This issue affects both the GlobalProtect portal and the GlobalProtect gateway.

This issue does not apply to Cloud NGFWs or Prisma Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.0.0; 11.1.0; 11.2.0; All,hot
56,CVE-2025-0115,palo_alto,2025-03-12T18:30:13.503Z,PAN-OS: Authenticated Admin File Read Vulnerability in PAN-OS CLI,"A vulnerability in the Palo Alto Networks PAN-OS software enables an authenticated admin on the PAN-OS CLI to read arbitrary files.

The attacker must have network access to the management interface (web, SSH, console, or telnet) and successfully authenticate to exploit this issue. You can greatly reduce the risk of this issue by restricting access to the management interface to only trusted users and internal IP addresses according to our recommended  critical deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue does not affect Cloud NGFW or Prisma Access.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.0.0; 11.1.0; 11.2.0; All,hot
57,CVE-2025-0116,palo_alto,2025-03-12T18:34:38.222Z,PAN-OS: Firewall Denial of Service (DoS) Using a Specially Crafted LLDP Frame,"A Denial of Service (DoS) vulnerability in Palo Alto Networks PAN-OS software causes the firewall to unexpectedly reboot when processing a specially crafted LLDP frame sent by an unauthenticated adjacent attacker. Repeated attempts to initiate this condition causes the firewall to enter maintenance mode.

This issue does not apply to Cloud NGFWs or Prisma Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.1.0; 11.2.0; All,hot
58,CVE-2025-0117,palo_alto,2025-03-12T18:35:35.409Z,GlobalProtect App: Local Privilege Escalation (PE) Vulnerability,"A reliance on untrusted input for a security decision in the GlobalProtect app on Windows devices potentially enables a locally authenticated non-administrative Windows user to escalate their privileges to NT AUTHORITY\SYSTEM.

GlobalProtect App on macOS, Linux, iOS, Android, Chrome OS and GlobalProtect UWP App are not affected.",PALO ALTO NETWORKS,GlobalProtect App; GlobalProtect UWP App,6.0.0; 6.1.0; 6.2.0; 6.3.0; All,hot
59,CVE-2025-0118,palo_alto,2025-03-12T18:36:44.290Z,GlobalProtect App: Execution of Unsafe ActiveX Control Vulnerability,"A vulnerability in the Palo Alto Networks GlobalProtect app on Windows allows a remote attacker to run ActiveX controls within the context of an authenticated Windows user. This enables the attacker to run commands as if they are a legitimate authenticated user. However, to exploit this vulnerability, the authenticated user must navigate to a malicious page during the GlobalProtect SAML login process on a Windows device.

This issue does not apply to the GlobalProtect app on other (non-Windows) platforms.",PALO ALTO NETWORKS,GlobalProtect App; GlobalProtect UWP App,6.0.0; 6.1.0; 6.2.0; 6.3.0; All,hot
60,CVE-2025-0119,palo_alto,2025-04-11T17:37:54.484Z,Cortex XDR Broker VM: Authenticated Command Injection Vulnerability in Broker VM,A command injection vulnerability in the Palo Alto Networks Cortex XDR® Broker VM allows an authenticated user to execute arbitrary OS commands with root privileges on the host operating system running Broker VM.,PALO ALTO NETWORKS,Cortex XDR Broker VM,1.0.0,hot
61,CVE-2025-0120,palo_alto,2025-04-11T01:44:48.253Z,GlobalProtect App: Local Privilege Escalation (PE) Vulnerability,"A vulnerability with a privilege management mechanism in the Palo Alto Networks GlobalProtect™ app on Windows devices allows a locally authenticated non-administrative Windows user to escalate their privileges to NT AUTHORITY\SYSTEM. However, execution requires that the local user can also successfully exploit a race condition, which makes this vulnerability difficult to exploit.",PALO ALTO NETWORKS,GlobalProtect App; GlobalProtect UWP App,6.0.0; 6.1.0; 6.2.0; 6.3.0; All,hot
62,CVE-2025-0121,palo_alto,2025-04-11T01:45:54.148Z,Cortex XDR Agent: Local Windows User Can Crash the Agent,"A null pointer dereference vulnerability in the Palo Alto Networks Cortex® XDR agent on Windows devices allows a low-privileged local Windows user to crash the agent. Additionally, malware can use this vulnerability to perform malicious activity without Cortex XDR being able to detect it.",PALO ALTO NETWORKS,Cortex XDR Agent,7.9-CE; 8.3-CE; 8.5.0; 8.6.0; 8.7.0,hot
63,CVE-2025-0122,palo_alto,2025-04-11T01:48:04.772Z,Prisma SD-WAN: Denial of Service (DoS) Vulnerability Through Burst of Crafted Packets,A denial-of-service (DoS) vulnerability in Palo Alto Networks Prisma® SD-WAN ION devices enables an unauthenticated attacker in a network adjacent to a Prisma SD-WAN ION device to disrupt the packet processing capabilities of the device by sending a burst of crafted packets to that device.,PALO ALTO NETWORKS,Prisma SD-WAN,6.1.0; 6.2.0; 6.3.0; 6.4.0; 6.5.0,hot
